Nome,Depth,i,Melhor_solucao,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
abba,5,1,^g|^v|^n|p|u,34,2753,192,60691,true
abba,5,2,z|u[^nx],34,838,58,61579,true
abba,5,3,z|hi|i^|y[^cb]|u|t$,37,43430,2924,60515,true
abba,5,4,^a|u|z|ns|c$,35,8936,597,60655,true
abba,5,5,^z|z|^v|^p|acr|[^cx]h|[^x]u,41,37703,2649,60408,true
abba,5,6,z|[^x]u|t$,35,5669,397,60700,true
abba,5,7,z|u|it,35,10340,548,61269,true
abba,5,8,^a|z|^v|^n|^p|u|t$,37,8551,544,60133,true
abba,5,9,^z|z|^v|^n|u|^p|ph,38,35760,2311,61676,true
abba,5,10,z|y|u|v^uz|hi,35,6191,436,60354,true
abba,5,11,[^p]z|it|u|ph,38,12642,817,60283,true
abba,5,12,^a|z|^v|^n|^p|u|t$,37,5815,411,61011,true
abba,5,13,^zz|z|u,32,742,52,61230,true
abba,5,14,z|st|[^x]u,37,4204,255,60022,true
abba,5,15,^[^hl]i|z|y|u,35,3046,230,60985,true
abba,5,16,[^c]z|hi|u|^p|y$,36,8285,565,61271,true
abba,5,17,^z|z|^v|^n|^p|ph|[^x]u,40,7058,507,60987,true
abba,5,18,z|u|[^cf]h,36,3121,203,61261,true
abba,5,19,[^x]u|z|um$,34,2500,171,60300,true
abba,5,20,z|hi[^pu]|^v|y|u,37,6141,419,60140,true
abba,5,21,z|[^cx]h|u|t$,37,20462,1320,60589,true
abba,5,22,z|st|^v|u|t$,37,14224,940,60882,true
abba,5,23,z|u[^n]|^a,35,24893,1469,60082,true
abba,5,24,st|[^g]u|z,37,3220,227,60370,true
abba,5,25,N/A,0,0,60822,60822,true
abba,5,26,z|it|u|^a|c$,36,12925,898,60388,true
abba,5,27,st|u|z|t$,36,9157,540,60692,true
abba,5,28,[^x]z|y|u|it|hi,38,24387,1689,61347,true
abba,5,29,z|u|ol|it|l$,37,5713,339,60936,true
abba,5,30,N/A,0,0,60546,60546,true
abba,6,1,N/A,0,0,61320,61320,true
abba,6,2,^g|^v|^n|p|u,34,4725,286,61451,true
abba,6,3,N/A,0,0,60867,60867,true
abba,6,4,^z|z|^v|^n|^p|ph|[^]u,40,25723,1527,61380,true
abba,6,5,z|^p|hi|gy|[^u]u,38,9203,1025,60892,true
abba,6,6,z|u|xy^nhd$,32,1097,117,61380,true
abba,6,7,z|[^x]u|hi|t$,37,15796,1105,61019,true
abba,6,8,z|u|^a[^bn]|t$,36,5435,366,61018,true
abba,6,9,^g|^n|p|u|r[^fp]com|it,36,6980,546,61518,true
abba,6,10,^z|z|^v|^n|^p|ph|u|t$,39,10089,624,60519,true
abba,6,11,[^x]hi|y|^pf|it|u|z|l$,39,15999,1568,61198,true
abba,6,12,^a|z|u[^n]|c$,36,11039,653,61457,true
abba,6,13,^v|st|z|[^y]u,38,30784,1921,61044,true
abba,6,14,ca|u|z|t$,35,8719,520,61524,true
abba,6,15,^z|z|^v|^n|^p|ph|u,38,5029,346,60483,true
abba,6,16,N/A,0,0,60609,60609,true
abba,6,17,z|u|st|t$,36,18200,1099,61461,true
abba,6,18,z|gt^|^a|^n|u|t$,35,9646,551,60452,true
abba,6,19,z|u,32,559,41,61243,true
abba,6,20,^z|z|^v|^n|^p|ph|u,38,26118,1912,60903,true
abba,6,21,z|ca[^cb]|y|u|^d$,35,21596,1477,61291,true
abba,6,22,z|u|^a|c$,34,3990,325,60542,true
abba,6,23,N/A,0,0,61328,61328,true
abba,6,24,z|d^oa|v|[^p]u|h|^p|t$,37,21557,1661,60381,true
abba,6,25,z|nv|[^x]u|te|t$,38,24545,1880,60807,true
abba,6,26,^g|^v|^n|p|u,34,5090,285,60081,true
abba,6,27,^z|be|z|y|u|[^fx]hi|t$,38,13957,1046,60026,true
abba,6,28,^z|z|^v|^n|^p|ph|u,38,4189,291,60299,true
abba,6,29,^g|^v|^n|p|u,34,3565,230,60698,true
abba,6,30,z|ns|u|te,35,4720,259,60937,true
abba,7,1,N/A,0,0,60173,60173,true
abba,7,2,z|u|rp,33,708,47,60070,true
abba,7,3,[^c]z|h|u[^nx],34,2125,161,61334,true
abba,7,4,^z|z|^v|^n|^p|ph|u|r[^x]u$,38,13634,1182,60882,true
