Nome,Depth,i,Melhor_solucao,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
abba,5,1,N/A,0,0,60046,60046,true
abba,5,2,[^c]h|z|y|u|t$,37,26919,1240,18045,false
abba,5,3,[^c]h|z|y|u|t$,37,27990,1463,28507,false
abba,5,4,[^c]h|z|y|it|u,39,7525,335,13859,false
abba,5,5,y|u|it|z|l$,37,67140,3092,60691,true
abba,5,6,z|u|^a,33,1572,97,61112,true
abba,5,7,N/A,0,0,12789,12789,false
abba,5,8,[^c]h|u|go|t$,37,38418,1767,60954,true
abba,5,9,z|u|[^c]h|t$,37,219853,9136,20041,false
abba,5,10,^n|ca|z|u|te,37,49703,2595,17664,false
abba,5,11,[^c]h|z|y|u|it,39,13790,889,23482,false
abba,5,12,[^c]h|z|y|u|t$,37,65575,2666,22740,false
abba,5,13,z|u|it|ph,38,65687,3230,22244,false
abba,5,14,it|z|y|u,36,5594,264,19735,false
abba,5,15,z|u|y|it,36,9774,523,20403,false
abba,5,16,z|u|ph|it|t$,38,16037,878,22892,false
abba,5,17,[^c]h|z|y|u|t$,37,39196,2075,25135,false
abba,5,18,[^c]h|z|y|u|t$,37,44832,2505,17879,false
abba,5,19,[^c]h|z|y|u|t$,37,26440,1541,62223,true
abba,5,20,^a|z|^p|[^]u,36,9928,620,60170,true
abba,5,21,[^c]h|z|y|u|sm,37,10649,638,16463,false
abba,5,22,[^c]h|z|y|u|t$,37,5596,318,18641,false
abba,5,23,z|p[^ia]|[^]u,37,30339,1469,27835,false
abba,5,24,[^c]h|z|y|u|t$,37,33573,1774,20633,false
abba,5,25,^n|z|u|y,34,3164,181,23000,false
abba,5,26,[^c]h|z|y|u|vi|t$,38,52575,2503,60422,true
abba,5,27,[^c]h|z|y|u|sm,37,96252,3967,61723,true
abba,5,28,^a|z|u,33,1584,101,18229,false
abba,5,29,^n|z|ph|u,36,21783,1204,60184,true
abba,5,30,^n|ca|z|[^]u|t$,38,17570,1052,19472,false
abba,6,1,z|u|y[^c]|ca|t$,37,13991,923,60852,true
abba,6,2,^[^h]i|z|[^]u|t$,37,26787,1389,34530,false
abba,6,3,[^c]h|z|y|u|it,39,10965,628,14549,false
abba,6,4,z|st|[^]u,37,10929,626,61356,true
abba,6,5,z|u[^n]|st|t$,38,103753,4278,60661,true
abba,6,6,[^c]h|z|y|u|t$,37,30985,1618,17292,false
abba,6,7,z|lo|mi|[^]u,37,16219,930,20528,false
abba,6,8,^n|z|p[^ia]|[^]u,38,4732,327,25313,false
abba,6,9,^n|z|u|it,36,9707,519,14429,false
abba,6,10,z|y|u|hi,35,6564,297,61598,true
abba,6,11,^p|z|[^c]h|u,37,16285,1201,18212,false
abba,6,12,[^c]h|z|y|u|t$,37,13796,797,21441,false
abba,6,13,^a|z|^p|u[^n],36,15976,918,61640,true
abba,6,14,[^c]h|z|y|u|it|t$,39,60433,3028,60308,true
abba,6,15,[^c]h|z|y|u|it,39,41291,2167,60891,true
abba,6,16,z|ph|u,35,4393,223,16283,false
abba,6,17,z|u|st|t$,36,6683,302,22139,false
abba,6,18,z|u|c[^i]l|st|t$,38,23281,1305,18078,false
abba,6,19,[^c]h|z|y|u|it,39,53614,2623,14015,false
abba,6,20,[^c]h|z|y|u|t$,37,30690,1559,23358,false
abba,6,21,z|u|l$,33,739,43,27824,false
abba,6,22,[^c]h|z|y|u|t$,37,128705,5987,60863,true
abba,6,23,p|^n|e$,31,1466,92,17993,false
abba,6,24,N/A,0,0,61135,61135,true
abba,6,25,[^c]h|z|y|u|t$,37,5203,301,16068,false
abba,6,26,y|u|hi|it|z|y$,38,85042,3907,25976,false
abba,6,27,^n|z|y|u,34,1909,103,23593,false
abba,6,28,z|u[^][^sc]|it,37,16051,883,15300,false
abba,6,29,[^c]h|z|y|u,36,5879,269,61473,true
abba,6,30,[^c]h|z|y|u|t$,37,7467,545,60925,true
abba,7,1,y|u|it|z|l$,37,156597,6524,22027,false
abba,7,2,[^c]h|z|y|u|t$,37,41730,2029,60095,true
abba,7,3,[^c]h|z|y|u|^v,37,26098,1540,20777,false
abba,7,4,[^c]h|z|y|u,36,7152,353,23269,false
abba,7,5,z|u|v^,32,1305,81,60974,true
abba,7,6,[^c]h|z|y|u|d^,36,10308,764,16604,false
abba,7,7,z|h|rs|[^]u,35,6838,367,60439,true
abba,7,8,z|y|u|hi|it|t$,38,21574,1276,20412,false
abba,7,9,[^c]h|z|y|u|sf|t$,37,23674,1319,61832,true
abba,7,10,z|u|[^]hi|y|t$,37,22524,1398,13824,false
abba,7,11,[^c]h|z|y|u|t$,37,5706,396,60455,true
abba,7,12,[^c]h|z|y|u,36,6347,315,21643,false
abba,7,13,z|u|^n|ph|te|t$,39,63315,3151,60712,true
abba,7,14,z|u[^n],34,1205,62,60028,true
abba,7,15,[^c]h|z|y|u|t$,37,16107,1093,25393,false
abba,7,16,[^c]h|z|y|u|t$,37,6846,509,17589,false
