Nome,Depth,i,Melhor_solucao,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out

abba,9,0,^p|^f|^n|p[^id]|e$,35,14124,872,60587,true
abba,9,1,^p|^f|^n|p[^id]|e$,35,14124,893,61105,true
abba,9,2,[^p]z|u|it|l$,36,9924,642,60397,true
abba,9,3,N/A,0,0,60229,60229,true
abba,9,4,z|u|t$,33,1345,89,62261,true
abba,9,5,N/A,0,0,60414,60414,true
abba,9,6,z|u|wg$,32,6267,423,60667,true
abba,9,7,z|u,32,1027,56,60525,true
abba,9,8,it|lo|z|u|l$,37,14657,1244,60133,true
abba,9,9,z|st|[^x]u|t$,38,21729,1461,60014,true
abba,9,10,z|u,32,654,46,60155,true
abba,9,11,st|u^s|[^x]u|z|l$,38,32729,2200,60657,true
abba,9,12,^g|^v|^n|p|u,34,6419,376,61120,true
abba,9,13,z|it|u|o[^n]o|l$,38,6886,531,60509,true
abba,9,14,N/A,0,0,60841,60841,true
abba,9,15,z|u|zd[^gc]vm$,32,1285,94,61086,true
abba,9,16,z|^n|u|y|l$,35,18349,1261,61035,true
abba,9,17,te|z|[^x]u,36,32298,1359,61101,true
abba,9,18,z|[^cl]h|u|t$,37,23633,1515,61152,true
abba,9,19,[^x]u|^sz|ph|z|t$,38,59792,3245,61242,true
abba,9,20,N/A,0,0,61393,61393,true
abba,9,21,y|^n|a[^x][^xg]m|z|u|l$,37,7350,803,60696,true
abba,9,22,z|u|ca|te|^snf$,36,2951,216,60032,true
abba,9,23,^g|^v|^n|p|u,34,2805,160,60523,true
abba,9,24,u|z|ul|^a|c$,34,2081,157,60584,true
abba,9,25,z|u[^na],34,886,59,61482,true
abba,9,26,z|it|u|ph|h$,38,32406,1599,60693,true
abba,9,27,y|mi|u|^n|z|y$,36,6021,355,60431,true
abba,9,28,^a|u|z|c$,34,11010,635,61355,true
abba,9,29,te|hi|it|[^x]u|z|g[^x]$,40,128970,7881,60697,true

aman-aplan,9,0,^k|[^md]e[^ry]$|mu|^r,36,177835,14265,45969,false
aman-aplan,9,1,^k|[^md]e[^ry]$|mu|^r,36,177835,14017,43657,false
aman-aplan,9,2,^l|x|^m|^k|^t|^r|d$|oo,36,35168,2113,38039,false
aman-aplan,9,3,^k|^[^y]e[^lf]|^m|^r,35,31825,2066,41628,false
aman-aplan,9,4,xx|^k|^t|ev|oo|x[^nd]|^r|ed$,36,538663,33598,37686,false
aman-aplan,9,5,^l|x|^m|^k|^t|^r|d$|oo|ue$,36,362803,25421,41942,false
aman-aplan,9,6,bc|x|^k|^t|^r|d|v|o[^lc]$,35,84845,5541,60461,true
aman-aplan,9,7,^k|^r|e[^ry]$|rd,35,292973,21920,43888,false
aman-aplan,9,8,x|^k|^t|d$|^r|la|[^i]oo,36,517452,35301,41522,false
aman-aplan,9,9,oo|k[^m]|^t|^r|rd|v|x|d$,36,351775,27320,44240,false
aman-aplan,9,10,^l|x|^m|^k|^t|^r|d$|oo,36,19927,1353,40078,false
aman-aplan,9,11,x|oo|^k|^t|^r|v|d|ah$,36,125228,7399,37144,false
aman-aplan,9,12,ev|x|^k|d[^]u|e[^t][^y]e|^r|c$,36,495764,36323,42439,false
aman-aplan,9,13,mu|^k|^r|ll|e[^rf]$,36,485338,37898,45070,false
aman-aplan,9,14,^x|x|d$|ev|^m|^k|^r|oo|^t,37,158753,15002,45733,false
aman-aplan,9,15,^x|x|d$|ev|^m|^k|^t|^r|oo[^ry]$,37,369139,25052,46666,false
aman-aplan,9,16,oo|^r|^k|e[^ry]$,36,503589,38448,47134,false
