Nome,Depth,i,Melhor_solucao,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out

abba,9,1,^p|^f|^n|p[^id]|e$,35,14130,761,60656,true
abba,9,1,^p|^f|^n|p[^id]|e$,35,14130,798,60992,true
abba,9,2,[^p]z|u|it|l$,36,9931,598,60050,true
abba,9,3,N/A,0,0,60950,60950,true
abba,9,4,z|u|t$,33,1345,77,60093,true
abba,9,5,N/A,0,0,61101,61101,true
abba,9,6,z|u|wg$,32,6271,415,60256,true
abba,9,7,z|u,32,1028,61,61061,true
abba,9,8,it|lo|z|u|l$,37,14663,956,60922,true
abba,9,9,z|st|[^x]u|t$,38,21739,1380,61040,true
abba,9,10,z|u,32,655,47,60727,true
abba,9,11,st|u^s|[^x]u|z|l$,38,32742,2192,60257,true
abba,9,12,^g|^v|^n|p|u,34,6421,349,61423,true
abba,9,13,z|it|u|o[^n]o|l$,38,6887,513,60121,true
abba,9,14,N/A,0,0,60914,60914,true
abba,9,15,z|u|zd[^gc]vm$,32,1285,97,60065,true
abba,9,16,z|^n|u|y|l$,35,18356,1265,60817,true
abba,9,17,te|z|[^x]u,36,32323,1340,60129,true
abba,9,18,z|[^cl]h|u|t$,37,23651,1368,61207,true
abba,9,19,[^x]u|^sz|ph|z|t$,38,59828,3167,60737,true
abba,9,20,N/A,0,0,61408,61408,true
abba,9,21,y|^n|a[^x][^xg]m|z|u|l$,37,7351,621,61275,true
abba,9,22,z|u|ca|te|^snf$,36,2951,199,60977,true
abba,9,23,^g|^v|^n|p|u,34,2805,155,60367,true
abba,9,24,u|z|ul|^a|c$,34,2081,133,60367,true
abba,9,25,z|u[^na],34,886,58,61040,true
abba,9,26,z|it|u|ph|h$,38,32435,1557,61509,true
abba,9,27,y|mi|u|^n|z|y$,36,6024,337,61156,true
abba,9,28,^a|u|z|c$,34,11020,615,60238,true
abba,9,29,te|hi|it|[^x]u|z|g[^x]$,40,129032,7624,61144,true

aman-aplan,9,1,^k|[^md]e[^ry]$|mu|^r,36,177885,11459,37686,false
aman-aplan,9,1,^k|[^md]e[^ry]$|mu|^r,36,177885,11551,38046,false
aman-aplan,9,2,^l|x|^m|^k|^t|^r|d$|oo,36,35179,1959,32181,false
aman-aplan,9,3,^k|^[^y]e[^lf]|^m|^r,35,31836,1569,34917,false
aman-aplan,9,4,xx|^k|^t|ev|oo|x[^nd]|^r|ed$,36,538841,29166,33191,false
aman-aplan,9,5,^l|x|^m|^k|^t|^r|d$|oo|ue$,36,362909,21229,33504,false
aman-aplan,9,6,bc|x|^k|^t|^r|d|v|o[^lc]$,35,84873,4868,61496,true
aman-aplan,9,7,^k|^r|e[^ry]$|rd,35,293067,17580,34463,false
aman-aplan,9,8,x|^k|^t|d$|^r|la|[^i]oo,36,517600,31129,36730,false
aman-aplan,9,9,oo|k[^m]|^t|^r|rd|v|x|d$,36,351886,20972,32943,false
aman-aplan,9,10,^l|x|^m|^k|^t|^r|d$|oo,36,19933,1193,34297,false
aman-aplan,9,11,x|oo|^k|^t|^r|v|d|ah$,36,125270,6666,34363,false
aman-aplan,9,12,ev|x|^k|d[^]u|e[^t][^y]e|^r|c$,36,495922,29096,34258,false
aman-aplan,9,13,mu|^k|^r|ll|e[^rf]$,36,485482,29472,35126,false
aman-aplan,9,14,^x|x|d$|ev|^m|^k|^r|oo|^t,37,158789,12981,37884,false
aman-aplan,9,15,^x|x|d$|ev|^m|^k|^t|^r|oo[^ry]$,37,369241,21430,38084,false
aman-aplan,9,16,oo|^r|^k|e[^ry]$,36,503737,32562,38545,false
aman-aplan,9,17,ah|oo|k[^o]|x|d$|mu|^r|k^e|et$|v|^$,37,304903,19498,35253,false
aman-aplan,9,18,x|oo|^k|^t|^r|d$|la,36,308002,17519,33020,false
aman-aplan,9,19,^m|x|^r|^t|os$|^k|d$|c$,36,41684,2432,31416,false
aman-aplan,9,20,xcv^hp|^k|oo|^r|x|e[^r]$,36,417299,23474,33740,false
aman-aplan,9,21,oo|^r|e[^ry]$|^k,36,261067,14795,32844,false
aman-aplan,9,22,^n|x|d$|ev|^m|^k|^t|^r,35,189673,10861,33628,false
aman-aplan,9,23,kx|la[^s]|^k|mu|^r|e[^ry]$,36,52035,5014,37369,false
aman-aplan,9,24,x|^k|n[^i]o|ic|^t|rd|^r|d$,36,278912,15512,33569,false
aman-aplan,9,25,^[^y]e[^lf]|^k|oo|c$,36,286077,16799,33975,false
aman-aplan,9,26,oo|x|^r|^t|d$|c$,35,349175,18349,32599,false
aman-aplan,9,27,^ax|oo|x|d$|v|^m|^k|^t|^r,36,38101,2642,32786,false
aman-aplan,9,28,x|^k|^t|^r|v|d|oo,35,547388,28818,31560,false
aman-aplan,9,29,x|^k|oo|d$|^t|^r|ic,36,483174,28212,33650,false

anchors,9,1,k$,42,69408,2984,14767,false
anchors,9,1,k$,42,69408,2976,14707,false
anchors,9,2,k$,42,19193,1006,10828,false
anchors,9,3,k$,42,15723,731,10774,false
anchors,9,4,k$,42,19964,953,14268,false
anchors,9,5,k$,42,23464,1036,11064,false
anchors,9,6,k$,42,42582,2265,12155,false
anchors,9,7,c[^hy]$,42,5458,245,9767,false
anchors,9,8,k$,42,15125,751,10682,false
anchors,9,9,k$,42,10151,632,10816,false
anchors,9,10,k$,42,73231,2963,11886,false
anchors,9,11,k$,42,5867,224,9604,false
anchors,9,12,k$,42,14158,834,10083,false
anchors,9,13,k$,42,33556,1776,11424,false
anchors,9,14,M|s|a,25,2175,119,9679,false
anchors,9,15,k$,42,21653,1129,12636,false
anchors,9,16,k$,42,31340,1275,11651,false
anchors,9,17,N/A,0,0,9786,9786,false
anchors,9,18,dd|k$,42,4514,296,10181,false
anchors,9,19,k$,42,124758,6032,19612,false
anchors,9,20,k$,42,65416,3023,14014,false
anchors,9,21,N/A,0,0,9375,9375,false
anchors,9,22,Mrbe|k$,42,6052,356,9946,false
anchors,9,23,k$,42,83648,5217,15233,false
anchors,9,24,k$,42,6674,298,9776,false
anchors,9,25,^p|k$,42,12012,765,10141,false
anchors,9,26,^[^kKNf]|Rrcolpts$,26,3530,255,9597,false
anchors,9,27,^Me|k$,42,6800,350,9717,false
anchors,9,28,k$,42,15938,702,11790,false
anchors,9,29,ft|k$,42,32646,1838,12236,false

four,9,1,f|^ta|bil|ara|o[W-j]|s[^w]$,38,82392,5191,24171,false
four,9,1,f|^ta|bil|ara|o[W-j]|s[^w]$,38,82392,5138,24349,false
four,9,2,bi|s[^w]$|[^rw]o[W-j]|^[W-j][W-f],39,164231,8005,21934,false
four,9,3,j|W|v[f-j]|i[f-j]|[^rw]o[W-j],38,27312,1111,24811,false
four,9,4,[W-j]o|a$,33,1214,63,11094,false
four,9,5,^d|o[^rw]o|sm|a$,38,33846,1661,26721,false
four,9,6,v[f-j]|po|^d[W-j]|o[W-j]o|a$,39,278553,13035,28938,false
four,9,7,el|l^W|o[^]o|f|v[f-j]|a$,39,416785,19110,27656,false
four,9,8,f|W|ty|o[^w]o|c[W-f]$,38,117732,5698,22972,false
four,9,9,[^rt]s[^hw]|j|o[W-j],36,16902,783,17933,false
four,9,10,^[W-j][W-j]|il|do[^eu]|om|M[W-f]|o$,40,199922,9934,28403,false
four,9,11,^W|el|o[W-j]|[W-j]s[^ah]|a$,38,223992,11568,32819,false
four,9,12,j|s[^hu]|o[W-j],36,4153,190,13940,false
four,9,13,j|W|o[^w]o|il|s[^cg]$,38,238955,15588,28169,false
four,9,14,^[W-j][W-j]|[W-j]o|W|ak|il|st$,38,597968,27972,28264,false
four,9,15,[^rt]s[^hw]|j|o[W-j],36,21485,838,29596,false
four,9,16,^Mphgor|o[W-j]|s[^ah]|a$,36,26704,1429,20104,false
four,9,17,j|f|W|v[f-j]|o[W-j],35,16349,633,26274,false
four,9,18,l[^sd]v|^j|v[f-j]|W|^d|o[W-j],37,139002,6925,24585,false
four,9,19,j|[W-j]s[^ah]|M[W-f]|W|o[W-j],38,58989,3450,34925,false
four,9,20,^d|el|op|[^rw]o[W-j]|a$,38,458119,24689,31992,false
four,9,21,f|v[f-j]|^d|el|o[^w]o|a$,40,279992,13524,26914,false
four,9,22,bi|do|[^rw]o[W-j]|^[W-j][W-f]|ka$,39,66518,2954,26485,false
four,9,23,f|L^it|c[W-f]$|W|vi|o[^au]o,39,185433,9056,26240,false
four,9,24,f|om|o[W-j]|[W-f]r[W-f]|v[^en],38,274821,12756,24383,false
four,9,25,W|j|Loe[W-j]|o[^]o|^Ma|bil|^d|sm$,41,268862,19932,36607,false
four,9,26,si|o[^la]o|a$,37,11929,561,28691,false
four,9,27,c[W-f]$|W|^ps|o[^rw]o|n$,38,21956,1284,21565,false
four,9,28,j|M[W-f]|W|o[^w]o|^d|m$,38,68179,3272,29486,false
four,9,29,po|[W-j]o|n[^rw]e|a$,39,110581,4972,23432,false

order,9,1,^[^putjs][^ar],39,185531,5477,19812,false
order,9,1,^[^putjs][^ar],39,185531,5439,19751,false
order,9,2,^[^sujp][^ra],38,469590,15896,20091,false
order,9,3,^[^sujp][^ar][^ab],40,304016,9830,19181,false
order,9,4,^[^sujp][^ar],38,61591,1875,17811,false
order,9,5,^[^sujp][^ar],38,176252,5253,17896,false
order,9,6,lo|c[^iku]|os,37,254332,7464,17404,false
order,9,7,^[^pujs][^ar],38,578164,18448,19205,false
order,9,8,^c|be|de|[^oa][^ei]o|y$,39,251600,8353,18953,false
order,9,9,^[^stjup][^ar],39,323876,9468,18160,false
order,9,10,^[^sujp][^ar][^ab],40,24953,1026,20363,false
order,9,11,^[^pjs][^arnzs],39,52484,1723,17423,false
order,9,12,^[^sujp][^ar],38,208378,7734,20398,false
order,9,13,^[^pujs][^ar],38,303553,11242,20606,false
order,9,14,^[^sujp][^ar],38,422913,15402,20186,false
order,9,15,^[^sujp][^ra],38,518041,15073,17374,false
order,9,16,^[^sujp][^ar],38,585422,20831,21214,false
order,9,17,ga|^[^sutjp][^ar],39,537281,16677,18445,false
order,9,18,^[^putjs][^ar][^ab],41,232951,7347,17739,false
order,9,19,^[^tsrujp][^ar],40,428689,13260,18177,false
order,9,20,^[^sprujt][^ar],40,179522,6457,19426,false
order,9,21,^[^sujp][^ar],38,551535,19731,21603,false
order,9,22,^[^sujp][^ar],38,382872,11723,18042,false
order,9,23,^[^pujs][^ar][^ab],40,76255,4822,20655,false
order,9,24,lo|^c|^a|fi|sy$,39,418995,14462,20170,false
order,9,25,^[^sputjr][^ar],40,362555,12504,20254,false
order,9,26,^[^sujp][^ar],38,181133,5710,18980,false
order,9,27,^[^sujp][^ar],38,500644,15907,19982,false
order,9,28,^[^sutjp][^ar],39,157566,5046,19335,false
order,9,29,^[^sujp][^ar],38,14234,544,19625,false

ranges,9,1,^[^mrt][^oiu][^ni][^tm],42,300615,19758,44940,false
ranges,9,1,^[^mrt][^oiu][^ni][^tm],42,300615,19586,44522,false
