Nome,Depth,i,Melhor_solucao,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out

abba,5,1,N/A,0,0,60105,60105,true
abba,5,2,N/A,0,0,60807,60807,true
abba,5,3,N/A,0,0,60953,60953,true
abba,5,4,N/A,0,0,60013,60013,true
abba,5,5,N/A,0,0,61224,61224,true
abba,5,6,N/A,0,0,60510,60510,true
abba,5,7,N/A,0,0,61254,61254,true
abba,5,8,N/A,0,0,60883,60883,true
abba,5,9,N/A,0,0,61405,61405,true
abba,5,10,N/A,0,0,60856,60856,true
abba,5,11,N/A,0,0,60091,60091,true
abba,5,12,N/A,0,0,60100,60100,true
abba,5,13,N/A,0,0,60187,60187,true
abba,5,14,N/A,0,0,61345,61345,true
abba,5,15,N/A,0,0,60754,60754,true
abba,5,16,N/A,0,0,60681,60681,true
abba,5,17,N/A,0,0,61194,61194,true
abba,5,18,N/A,0,0,60794,60794,true
abba,5,19,N/A,0,0,61055,61055,true
abba,5,20,N/A,0,0,60617,60617,true
abba,5,21,N/A,0,0,60840,60840,true
abba,5,22,N/A,0,0,60738,60738,true
abba,5,23,N/A,0,0,61179,61179,true
abba,5,24,N/A,0,0,60666,60666,true
abba,5,25,N/A,0,0,61106,61106,true
abba,5,26,N/A,0,0,60932,60932,true
abba,5,27,N/A,0,0,61262,61262,true
abba,5,28,N/A,0,0,61170,61170,true
abba,5,29,N/A,0,0,61289,61289,true
abba,5,30,N/A,0,0,60563,60563,true

aman-aplan,5,1,x|oo|^k|py$|^r|^t|d$,35,209199,11152,34754,false
aman-aplan,5,2,x|oo|^k|py$|^r|^t|d$,35,209199,11282,34465,false
aman-aplan,5,3,x|oo|^k|py$|^r|^t|d$,35,209199,11281,35997,false
aman-aplan,5,4,x|oo|^k|py$|^r|^t|d$,35,209199,11483,34994,false
aman-aplan,5,5,x|oo|^k|py$|^r|^t|d$,35,209199,11429,37406,false
aman-aplan,5,6,x|oo|^k|py$|^r|^t|d$,35,209199,12867,40221,false
aman-aplan,5,7,x|oo|^k|py$|^r|^t|d$,35,209199,11925,38289,false
aman-aplan,5,8,x|oo|^k|py$|^r|^t|d$,35,209199,12537,39507,false
aman-aplan,5,9,x|oo|^k|py$|^r|^t|d$,35,209199,12567,37716,false
aman-aplan,5,10,x|oo|^k|py$|^r|^t|d$,35,209199,11592,35203,false
aman-aplan,5,11,x|oo|^k|py$|^r|^t|d$,35,209199,11621,35647,false
aman-aplan,5,12,x|oo|^k|py$|^r|^t|d$,35,209199,13704,40248,false
aman-aplan,5,13,x|oo|^k|py$|^r|^t|d$,35,209199,13629,40563,false
aman-aplan,5,14,x|oo|^k|py$|^r|^t|d$,35,209199,12688,40046,false
aman-aplan,5,15,x|oo|^k|py$|^r|^t|d$,35,209199,11901,39647,false
aman-aplan,5,16,x|oo|^k|py$|^r|^t|d$,35,209199,12875,39015,false
aman-aplan,5,17,x|oo|^k|py$|^r|^t|d$,35,209199,13152,38890,false
aman-aplan,5,18,x|oo|^k|py$|^r|^t|d$,35,209199,13188,40687,false
aman-aplan,5,19,x|oo|^k|py$|^r|^t|d$,35,209199,13911,39387,false
aman-aplan,5,20,x|oo|^k|py$|^r|^t|d$,35,209199,13147,39039,false
aman-aplan,5,21,x|oo|^k|py$|^r|^t|d$,35,209199,13435,39180,false
aman-aplan,5,22,x|oo|^k|py$|^r|^t|d$,35,209199,12445,40212,false
aman-aplan,5,23,x|oo|^k|py$|^r|^t|d$,35,209199,14627,42791,false
aman-aplan,5,24,x|oo|^k|py$|^r|^t|d$,35,209199,13161,39365,false
aman-aplan,5,25,x|oo|^k|py$|^r|^t|d$,35,209199,13360,44585,false
aman-aplan,5,26,x|oo|^k|py$|^r|^t|d$,35,209199,12866,42493,false
aman-aplan,5,27,x|oo|^k|py$|^r|^t|d$,35,209199,13102,42267,false
aman-aplan,5,28,x|oo|^k|py$|^r|^t|d$,35,209199,12262,38982,false
aman-aplan,5,29,x|oo|^k|py$|^r|^t|d$,35,209199,13170,41728,false
aman-aplan,5,30,x|oo|^k|py$|^r|^t|d$,35,209199,14458,44376,false

anchors,5,1,[^k]nt|M|a|s,26,3536,219,22169,false
anchors,5,2,[^k]nt|M|a|s,26,3536,361,21186,false
anchors,5,3,[^k]nt|M|a|s,26,3536,201,19954,false
anchors,5,4,[^k]nt|M|a|s,26,3536,211,20391,false
anchors,5,5,[^k]nt|M|a|s,26,3536,282,21934,false
anchors,5,6,[^k]nt|M|a|s,26,3536,204,22696,false
anchors,5,7,[^k]nt|M|a|s,26,3536,246,22673,false
anchors,5,8,[^k]nt|M|a|s,26,3536,193,23887,false
anchors,5,9,[^k]nt|M|a|s,26,3536,209,20811,false
anchors,5,10,[^k]nt|M|a|s,26,3536,226,21469,false
anchors,5,11,[^k]nt|M|a|s,26,3536,206,23718,false
anchors,5,12,[^k]nt|M|a|s,26,3536,195,23751,false
anchors,5,13,[^k]nt|M|a|s,26,3536,199,23471,false
anchors,5,14,[^k]nt|M|a|s,26,3536,210,27133,false
anchors,5,15,[^k]nt|M|a|s,26,3536,260,21722,false
anchors,5,16,[^k]nt|M|a|s,26,3536,233,20903,false
anchors,5,17,[^k]nt|M|a|s,26,3536,231,20921,false
anchors,5,18,[^k]nt|M|a|s,26,3536,205,19825,false
anchors,5,19,[^k]nt|M|a|s,26,3536,197,22841,false
anchors,5,20,[^k]nt|M|a|s,26,3536,202,23367,false
anchors,5,21,[^k]nt|M|a|s,26,3536,195,22374,false
anchors,5,22,[^k]nt|M|a|s,26,3536,210,21186,false
anchors,5,23,[^k]nt|M|a|s,26,3536,203,20795,false
anchors,5,24,[^k]nt|M|a|s,26,3536,212,24212,false
anchors,5,25,[^k]nt|M|a|s,26,3536,219,22688,false
anchors,5,26,[^k]nt|M|a|s,26,3536,224,20688,false
anchors,5,27,[^k]nt|M|a|s,26,3536,292,23152,false
anchors,5,28,[^k]nt|M|a|s,26,3536,231,23938,false
anchors,5,29,[^k]nt|M|a|s,26,3536,196,20327,false
anchors,5,30,[^k]nt|M|a|s,26,3536,204,20934,false

four,5,1,f|vi|uk^y|o[^rw]o|a$,38,230828,14833,23346,false
four,5,2,f|vi|uk^y|o[^rw]o|a$,38,230828,14582,23620,false
four,5,3,f|vi|uk^y|o[^rw]o|a$,38,230828,17058,25637,false
four,5,4,f|vi|uk^y|o[^rw]o|a$,38,230828,14483,24987,false
four,5,5,f|vi|uk^y|o[^rw]o|a$,38,230828,15748,25764,false
four,5,6,f|vi|uk^y|o[^rw]o|a$,38,230828,13211,21438,false
four,5,7,f|vi|uk^y|o[^rw]o|a$,38,230828,13305,21802,false
four,5,8,f|vi|uk^y|o[^rw]o|a$,38,230828,14017,22763,false
four,5,9,f|vi|uk^y|o[^rw]o|a$,38,230828,13541,23506,false
four,5,10,f|vi|uk^y|o[^rw]o|a$,38,230828,16565,26954,false
four,5,11,f|vi|uk^y|o[^rw]o|a$,38,230828,12901,20957,false
four,5,12,f|vi|uk^y|o[^rw]o|a$,38,230828,12851,21042,false
four,5,13,f|vi|uk^y|o[^rw]o|a$,38,230828,12836,21100,false
four,5,14,f|vi|uk^y|o[^rw]o|a$,38,230828,13071,21352,false
four,5,15,f|vi|uk^y|o[^rw]o|a$,38,230828,13770,23964,false
four,5,16,f|vi|uk^y|o[^rw]o|a$,38,230828,14867,25247,false
four,5,17,f|vi|uk^y|o[^rw]o|a$,38,230828,14432,23859,false
four,5,18,f|vi|uk^y|o[^rw]o|a$,38,230828,13167,21563,false
four,5,19,f|vi|uk^y|o[^rw]o|a$,38,230828,14640,23924,false
four,5,20,f|vi|uk^y|o[^rw]o|a$,38,230828,14415,22679,false
four,5,21,f|vi|uk^y|o[^rw]o|a$,38,230828,13123,21577,false
four,5,22,f|vi|uk^y|o[^rw]o|a$,38,230828,13543,21759,false
four,5,23,f|vi|uk^y|o[^rw]o|a$,38,230828,16398,25299,false
four,5,24,f|vi|uk^y|o[^rw]o|a$,38,230828,14799,23447,false
four,5,25,f|vi|uk^y|o[^rw]o|a$,38,230828,13064,21330,false
four,5,26,f|vi|uk^y|o[^rw]o|a$,38,230828,13006,21261,false
four,5,27,f|vi|uk^y|o[^rw]o|a$,38,230828,13110,21610,false
four,5,28,f|vi|uk^y|o[^rw]o|a$,38,230828,14205,22761,false
four,5,29,f|vi|uk^y|o[^rw]o|a$,38,230828,12746,20817,false
four,5,30,f|vi|uk^y|o[^rw]o|a$,38,230828,12771,20731,false

order,5,1,^[^sjp][^an][^db],39,34338,1682,18392,false
order,5,2,^[^sjp][^an][^db],39,34338,1659,18137,false
order,5,3,^[^sjp][^an][^db],39,34338,1678,18117,false
order,5,4,^[^sjp][^an][^db],39,34338,1645,19591,false
order,5,5,^[^sjp][^an][^db],39,34338,1686,18571,false
order,5,6,^[^sjp][^an][^db],39,34338,1688,18049,false
order,5,7,^[^sjp][^an][^db],39,34338,1645,18049,false
order,5,8,^[^sjp][^an][^db],39,34338,1700,18313,false
order,5,9,^[^sjp][^an][^db],39,34338,1669,17951,false
order,5,10,^[^sjp][^an][^db],39,34338,1654,18043,false
order,5,11,^[^sjp][^an][^db],39,34338,1693,18345,false
order,5,12,^[^sjp][^an][^db],39,34338,1681,18187,false
order,5,13,^[^sjp][^an][^db],39,34338,1655,17942,false
order,5,14,^[^sjp][^an][^db],39,34338,1668,18046,false
order,5,15,^[^sjp][^an][^db],39,34338,1670,18583,false
order,5,16,^[^sjp][^an][^db],39,34338,1749,19461,false
order,5,17,^[^sjp][^an][^db],39,34338,1866,19223,false
order,5,18,^[^sjp][^an][^db],39,34338,1779,19137,false
order,5,19,^[^sjp][^an][^db],39,34338,1761,18977,false
order,5,20,^[^sjp][^an][^db],39,34338,1756,20599,false
order,5,21,^[^sjp][^an][^db],39,34338,1789,19403,false
order,5,22,^[^sjp][^an][^db],39,34338,1783,19336,false
order,5,23,^[^sjp][^an][^db],39,34338,1761,19323,false
order,5,24,^[^sjp][^an][^db],39,34338,1777,19220,false
order,5,25,^[^sjp][^an][^db],39,34338,1736,19028,false
order,5,26,^[^sjp][^an][^db],39,34338,1774,19222,false
order,5,27,^[^sjp][^an][^db],39,34338,1789,19282,false
order,5,28,^[^sjp][^an][^db],39,34338,1767,20868,false
order,5,29,^[^sjp][^an][^db],39,34338,1754,23306,false
order,5,30,^[^sjp][^an][^db],39,34338,2154,23062,false

ranges,5,1,^[^mrt][^oiu][^ni][^tm],42,346389,26556,49916,false
ranges,5,2,^[^mrt][^oiu][^ni][^tm],42,346389,29590,53060,false
ranges,5,3,^[^mrt][^oiu][^ni][^tm],42,346389,27006,52285,false
ranges,5,4,^[^mrt][^oiu][^ni][^tm],42,346389,27444,52673,false
