Nome,Depth,i,Melhor_solucao,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out

abba,9,1,^a|z|^v|^n|^p|u|t$,37,23986,1850,60795,true
abba,9,2,^a|z|^v|^n|^p|u|t$,37,23986,1630,60783,true
abba,9,3,^a|z|^v|^n|^p|u|t$,37,23986,1493,61572,true
abba,9,4,^a|z|^v|^n|^p|u|t$,37,23986,1658,61092,true
abba,9,5,^a|z|^v|^n|^p|u|t$,37,23986,2068,60448,true
abba,9,6,^a|z|^v|^n|^p|u|t$,37,23986,2733,60731,true
abba,9,7,^a|z|^v|^n|^p|u|t$,37,23986,1689,60848,true
abba,9,8,^a|z|^v|^n|^p|u|t$,37,23986,1509,60258,true
abba,9,9,^a|z|^v|^n|^p|u|t$,37,23986,1603,60442,true
abba,9,10,^a|z|^v|^n|^p|u|t$,37,23986,1508,60998,true
abba,9,11,^a|z|^v|^n|^p|u|t$,37,23986,1564,60518,true
abba,9,12,^a|z|^v|^n|^p|u|t$,37,23986,1794,60175,true
abba,9,13,^a|z|^v|^n|^p|u|t$,37,23986,2407,61048,true
abba,9,14,^a|z|^v|^n|^p|u|t$,37,23986,1534,60256,true
abba,9,15,^a|z|^v|^n|^p|u|t$,37,23986,1452,61005,true
abba,9,16,^a|z|^v|^n|^p|u|t$,37,23986,1538,60051,true
abba,9,17,^a|z|^v|^n|^p|u|t$,37,23986,1745,60613,true
abba,9,18,^a|z|^v|^n|^p|u|t$,37,23986,1880,60606,true
abba,9,19,^a|z|^v|^n|^p|u|t$,37,23986,2507,61097,true
abba,9,20,^a|z|^v|^n|^p|u|t$,37,23986,2863,60118,true
abba,9,21,^a|z|^v|^n|^p|u|t$,37,23986,1940,60230,true
abba,9,22,^a|z|^v|^n|^p|u|t$,37,23986,1512,61581,true
abba,9,23,^a|z|^v|^n|^p|u|t$,37,23986,1828,60642,true
abba,9,24,^a|z|^v|^n|^p|u|t$,37,23986,1868,60767,true
abba,9,25,^a|z|^v|^n|^p|u|t$,37,23986,1563,60287,true
abba,9,26,^a|z|^v|^n|^p|u|t$,37,23986,1612,60533,true
abba,9,27,^a|z|^v|^n|^p|u|t$,37,23986,1980,61690,true
abba,9,28,^a|z|^v|^n|^p|u|t$,37,23986,1558,60800,true
abba,9,29,^a|z|^v|^n|^p|u|t$,37,23986,1584,61215,true
abba,9,30,^a|z|^v|^n|^p|u|t$,37,23986,4322,61408,true
order,9,1,^[^sujp][^ra],38,369301,16120,26967,false
order,9,2,^[^sujp][^ra],38,369301,15380,25135,false
order,9,3,^[^sujp][^ra],38,369301,17076,30790,false
order,9,4,^[^sujp][^ra],38,369301,19199,30473,false
order,9,5,^[^sujp][^ra],38,369301,20202,32235,false
order,9,6,^[^sujp][^ra],38,369301,17400,26915,false
order,9,7,^[^sujp][^ra],38,369301,14452,24236,false
order,9,8,^[^sujp][^ra],38,369301,16090,30529,false
order,9,9,^[^sujp][^ra],38,369301,15254,25499,false
order,9,10,^[^sujp][^ra],38,369301,19220,30668,false
order,9,11,^[^sujp][^ra],38,369301,16271,29179,false
order,9,12,^[^sujp][^ra],38,369301,17315,29511,false
order,9,13,^[^sujp][^ra],38,369301,15314,25310,false
order,9,14,^[^sujp][^ra],38,369301,18628,32923,false
order,9,15,^[^sujp][^ra],38,369301,18490,30627,false
order,9,16,^[^sujp][^ra],38,369301,17583,28655,false
order,9,17,^[^sujp][^ra],38,369301,14787,24020,false
order,9,18,^[^sujp][^ra],38,369301,18464,30628,false
order,9,19,^[^sujp][^ra],38,369301,14762,26089,false
order,9,20,^[^sujp][^ra],38,369301,15917,25325,false
order,9,21,^[^sujp][^ra],38,369301,13693,21501,false
order,9,22,^[^sujp][^ra],38,369301,13254,21319,false
order,9,23,^[^sujp][^ra],38,369301,11551,20819,false
order,9,24,^[^sujp][^ra],38,369301,13195,22358,false
order,9,25,^[^sujp][^ra],38,369301,14046,22488,false
order,9,26,^[^sujp][^ra],38,369301,11689,19041,false
order,9,27,^[^sujp][^ra],38,369301,11303,20193,false
order,9,28,^[^sujp][^ra],38,369301,13048,22071,false
order,9,29,^[^sujp][^ra],38,369301,12563,21352,false
order,9,30,^[^sujp][^ra],38,369301,12789,22282,false
four,9,1,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,8076,23157,false
four,9,2,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,8120,23987,false
four,9,3,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,8721,22842,false
four,9,4,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,8543,22769,false
four,9,5,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,7836,21554,false
four,9,6,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,7718,24208,false
four,9,7,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,12729,29244,false
four,9,8,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,8341,25758,false
four,9,9,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,8448,23554,false
four,9,10,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,9248,24860,false
four,9,11,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,9364,23930,false
four,9,12,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,7206,24105,false
four,9,13,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,11660,25410,false
four,9,14,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,7351,22068,false
four,9,15,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,7880,21429,false
four,9,16,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,8001,22002,false
four,9,17,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,7207,22201,false
four,9,18,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,7420,22408,false
four,9,19,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,10018,25140,false
four,9,20,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,9075,24445,false
four,9,21,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,8703,23403,false
four,9,22,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,8501,23683,false
four,9,23,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,7455,23400,false
four,9,24,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,8594,21827,false
four,9,25,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,7392,22170,false
four,9,26,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,8105,23441,false
four,9,27,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,8708,23793,false
four,9,28,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,7566,22593,false
four,9,29,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,9589,24501,false
four,9,30,j|M[W-f]|W|nt[W-f]|[^rw]o[W-j]|[W-j]v|^d|t$,41,123753,7277,20721,false
aman-aplan,9,1,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1517,37230,false
aman-aplan,9,2,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1446,36949,false
aman-aplan,9,3,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1489,38504,false
aman-aplan,9,4,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1943,40072,false
aman-aplan,9,5,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,2138,37499,false
aman-aplan,9,6,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1462,37547,false
aman-aplan,9,7,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1512,38851,false
aman-aplan,9,8,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,2016,38978,false
aman-aplan,9,9,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1408,38473,false
aman-aplan,9,10,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1616,42297,false
aman-aplan,9,11,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1669,42225,false
aman-aplan,9,12,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1718,41585,false
aman-aplan,9,13,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1441,43214,false
aman-aplan,9,14,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,2167,43381,false
aman-aplan,9,15,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1579,44383,false
aman-aplan,9,16,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1417,39968,false
aman-aplan,9,17,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,2048,42914,false
aman-aplan,9,18,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,2134,42182,false
aman-aplan,9,19,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1799,42967,false
aman-aplan,9,20,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,2109,41994,false
aman-aplan,9,21,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1648,41037,false
aman-aplan,9,22,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1790,39486,false
aman-aplan,9,23,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1888,41404,false
aman-aplan,9,24,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1697,39898,false
aman-aplan,9,25,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1682,42073,false
aman-aplan,9,26,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1446,40650,false
aman-aplan,9,27,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1656,43000,false
aman-aplan,9,28,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1434,39951,false
aman-aplan,9,29,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1932,40016,false
aman-aplan,9,30,^h|x|d$|v|^m|^k|^t|^r[^]|oo,36,19875,1494,39040,false
triples,9,1,75|^90|[^46]2|6$,32,283484,9480,19664,false
triples,9,2,75|^90|[^46]2|6$,32,283484,11659,22047,false
triples,9,3,75|^90|[^46]2|6$,32,283484,9641,19534,false
triples,9,4,75|^90|[^46]2|6$,32,283484,9138,19034,false
triples,9,5,75|^90|[^46]2|6$,32,283484,8920,18476,false
triples,9,6,24|17|6$,29,46917,1504,2513850,true
triples,9,7,75|^90|[^46]2|6$,32,283484,14127,25846,false
triples,9,8,75|^90|[^46]2|6$,32,283484,12423,25291,false
