Nome,Depth,i,Melhor_solucao,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out

abba,5,1,N/A,0,0,60497,60497,true
abba,5,2,N/A,0,0,61453,61453,true
abba,5,3,N/A,0,0,61446,61446,true
abba,5,4,N/A,0,0,60230,60230,true
abba,5,5,N/A,0,0,61405,61405,true
abba,5,6,N/A,0,0,61317,61317,true
abba,5,7,N/A,0,0,61214,61214,true
abba,5,8,N/A,0,0,60710,60710,true
abba,5,9,N/A,0,0,61673,61673,true
abba,5,10,N/A,0,0,60687,60687,true
abba,5,11,N/A,0,0,60112,60112,true
abba,5,12,N/A,0,0,60703,60703,true
abba,5,13,N/A,0,0,61595,61595,true
abba,5,14,N/A,0,0,61290,61290,true
abba,5,15,N/A,0,0,60758,60758,true
abba,5,16,N/A,0,0,61355,61355,true
abba,5,17,N/A,0,0,60705,60705,true
abba,5,18,N/A,0,0,61095,61095,true
abba,5,19,N/A,0,0,61407,61407,true
abba,5,20,N/A,0,0,60554,60554,true
abba,5,21,N/A,0,0,61246,61246,true
abba,5,22,N/A,0,0,60426,60426,true
abba,5,23,N/A,0,0,61407,61407,true
abba,5,24,N/A,0,0,61044,61044,true
abba,5,25,N/A,0,0,60077,60077,true
abba,5,26,N/A,0,0,61031,61031,true
abba,5,27,N/A,0,0,60076,60076,true
abba,5,28,N/A,0,0,61501,61501,true
abba,5,29,N/A,0,0,61285,61285,true
abba,5,30,N/A,0,0,60877,60877,true

aman-aplan,5,1,x|oo|^k|py$|^r|^t|d$,35,209262,12171,37010,false
aman-aplan,5,2,x|oo|^k|py$|^r|^t|d$,35,209262,12293,36501,false
aman-aplan,5,3,x|oo|^k|py$|^r|^t|d$,35,209262,11908,37300,false
aman-aplan,5,4,x|oo|^k|py$|^r|^t|d$,35,209262,11971,36002,false
aman-aplan,5,5,x|oo|^k|py$|^r|^t|d$,35,209262,13528,37948,false
aman-aplan,5,6,x|oo|^k|py$|^r|^t|d$,35,209262,11508,34631,false
aman-aplan,5,7,x|oo|^k|py$|^r|^t|d$,35,209262,11322,34675,false
aman-aplan,5,8,x|oo|^k|py$|^r|^t|d$,35,209262,11244,34534,false
aman-aplan,5,9,x|oo|^k|py$|^r|^t|d$,35,209262,11318,34515,false
aman-aplan,5,10,x|oo|^k|py$|^r|^t|d$,35,209262,11215,34456,false
aman-aplan,5,11,x|oo|^k|py$|^r|^t|d$,35,209262,11393,34734,false
aman-aplan,5,12,x|oo|^k|py$|^r|^t|d$,35,209262,11504,35169,false
aman-aplan,5,13,x|oo|^k|py$|^r|^t|d$,35,209262,11253,34529,false
aman-aplan,5,14,x|oo|^k|py$|^r|^t|d$,35,209262,11290,36402,false
aman-aplan,5,15,x|oo|^k|py$|^r|^t|d$,35,209262,11395,34750,false
aman-aplan,5,16,x|oo|^k|py$|^r|^t|d$,35,209262,11725,35961,false
aman-aplan,5,17,x|oo|^k|py$|^r|^t|d$,35,209262,12411,36253,false
aman-aplan,5,18,x|oo|^k|py$|^r|^t|d$,35,209262,11670,37194,false
aman-aplan,5,19,x|oo|^k|py$|^r|^t|d$,35,209262,11935,35560,false
aman-aplan,5,20,x|oo|^k|py$|^r|^t|d$,35,209262,11287,35409,false
aman-aplan,5,21,x|oo|^k|py$|^r|^t|d$,35,209262,13243,38127,false
aman-aplan,5,22,x|oo|^k|py$|^r|^t|d$,35,209262,11708,37673,false
aman-aplan,5,23,x|oo|^k|py$|^r|^t|d$,35,209262,11534,35427,false
aman-aplan,5,24,x|oo|^k|py$|^r|^t|d$,35,209262,11894,38485,false
aman-aplan,5,25,x|oo|^k|py$|^r|^t|d$,35,209262,11347,35112,false
aman-aplan,5,26,x|oo|^k|py$|^r|^t|d$,35,209262,11207,35709,false
aman-aplan,5,27,x|oo|^k|py$|^r|^t|d$,35,209262,12438,37334,false
aman-aplan,5,28,x|oo|^k|py$|^r|^t|d$,35,209262,11673,36727,false
aman-aplan,5,29,x|oo|^k|py$|^r|^t|d$,35,209262,12287,39879,false
aman-aplan,5,30,x|oo|^k|py$|^r|^t|d$,35,209262,12528,37350,false

anchors,5,1,[^k]nt|M|a|s,26,3536,176,17287,false
anchors,5,2,[^k]nt|M|a|s,26,3536,180,18632,false
anchors,5,3,[^k]nt|M|a|s,26,3536,189,17437,false
anchors,5,4,[^k]nt|M|a|s,26,3536,181,17613,false
anchors,5,5,[^k]nt|M|a|s,26,3536,187,17517,false
anchors,5,6,[^k]nt|M|a|s,26,3536,176,17241,false
anchors,5,7,[^k]nt|M|a|s,26,3536,176,17647,false
anchors,5,8,[^k]nt|M|a|s,26,3536,184,17910,false
anchors,5,9,[^k]nt|M|a|s,26,3536,181,17376,false
anchors,5,10,[^k]nt|M|a|s,26,3536,180,17553,false
anchors,5,11,[^k]nt|M|a|s,26,3536,180,17382,false
anchors,5,12,[^k]nt|M|a|s,26,3536,182,17199,false
anchors,5,13,[^k]nt|M|a|s,26,3536,184,17437,false
anchors,5,14,[^k]nt|M|a|s,26,3536,187,17568,false
anchors,5,15,[^k]nt|M|a|s,26,3536,190,17937,false
anchors,5,16,[^k]nt|M|a|s,26,3536,190,17870,false
anchors,5,17,[^k]nt|M|a|s,26,3536,184,17934,false
anchors,5,18,[^k]nt|M|a|s,26,3536,180,17576,false
anchors,5,19,[^k]nt|M|a|s,26,3536,184,17517,false
anchors,5,20,[^k]nt|M|a|s,26,3536,181,17314,false
anchors,5,21,[^k]nt|M|a|s,26,3536,180,17849,false
anchors,5,22,[^k]nt|M|a|s,26,3536,185,17609,false
anchors,5,23,[^k]nt|M|a|s,26,3536,181,18005,false
anchors,5,24,[^k]nt|M|a|s,26,3536,182,17390,false
anchors,5,25,[^k]nt|M|a|s,26,3536,189,17394,false
anchors,5,26,[^k]nt|M|a|s,26,3536,189,17715,false
anchors,5,27,[^k]nt|M|a|s,26,3536,183,17292,false
anchors,5,28,[^k]nt|M|a|s,26,3536,183,17737,false
anchors,5,29,[^k]nt|M|a|s,26,3536,180,17390,false
anchors,5,30,[^k]nt|M|a|s,26,3536,186,17510,false

four,5,1,f|vi|uk^y|o[^rw]o|a$,38,230884,12753,20915,false
four,5,2,f|vi|uk^y|o[^rw]o|a$,38,230884,12711,20955,false
four,5,3,f|vi|uk^y|o[^rw]o|a$,38,230884,12984,21105,false
four,5,4,f|vi|uk^y|o[^rw]o|a$,38,230884,12839,20988,false
four,5,5,f|vi|uk^y|o[^rw]o|a$,38,230884,12816,21057,false
four,5,6,f|vi|uk^y|o[^rw]o|a$,38,230884,12767,21020,false
four,5,7,f|vi|uk^y|o[^rw]o|a$,38,230884,12788,20946,false
four,5,8,f|vi|uk^y|o[^rw]o|a$,38,230884,12851,22489,false
four,5,9,f|vi|uk^y|o[^rw]o|a$,38,230884,13585,22135,false
four,5,10,f|vi|uk^y|o[^rw]o|a$,38,230884,13608,22404,false
four,5,11,f|vi|uk^y|o[^rw]o|a$,38,230884,14559,23813,false
four,5,12,f|vi|uk^y|o[^rw]o|a$,38,230884,14075,22442,false
four,5,13,f|vi|uk^y|o[^rw]o|a$,38,230884,12848,21152,false
four,5,14,f|vi|uk^y|o[^rw]o|a$,38,230884,12906,21109,false
four,5,15,f|vi|uk^y|o[^rw]o|a$,38,230884,12901,21101,false
four,5,16,f|vi|uk^y|o[^rw]o|a$,38,230884,12793,21380,false
four,5,17,f|vi|uk^y|o[^rw]o|a$,38,230884,13229,22482,false
four,5,18,f|vi|uk^y|o[^rw]o|a$,38,230884,14592,23073,false
four,5,19,f|vi|uk^y|o[^rw]o|a$,38,230884,12870,21025,false
four,5,20,f|vi|uk^y|o[^rw]o|a$,38,230884,13181,21383,false
four,5,21,f|vi|uk^y|o[^rw]o|a$,38,230884,12678,20720,false
four,5,22,f|vi|uk^y|o[^rw]o|a$,38,230884,12917,21244,false
four,5,23,f|vi|uk^y|o[^rw]o|a$,38,230884,12936,21136,false
four,5,24,f|vi|uk^y|o[^rw]o|a$,38,230884,12953,21331,false
four,5,25,f|vi|uk^y|o[^rw]o|a$,38,230884,13126,23980,false
four,5,26,f|vi|uk^y|o[^rw]o|a$,38,230884,15621,25411,false
four,5,27,f|vi|uk^y|o[^rw]o|a$,38,230884,13598,21967,false
four,5,28,f|vi|uk^y|o[^rw]o|a$,38,230884,12844,21035,false
four,5,29,f|vi|uk^y|o[^rw]o|a$,38,230884,12979,21257,false
four,5,30,f|vi|uk^y|o[^rw]o|a$,38,230884,13742,22117,false

order,5,1,^[^sjp][^an][^db],39,34375,1664,17635,false
order,5,2,^[^sjp][^an][^db],39,34375,1575,17905,false
order,5,3,^[^sjp][^an][^db],39,34375,1583,17576,false
order,5,4,^[^sjp][^an][^db],39,34375,1586,17559,false
order,5,5,^[^sjp][^an][^db],39,34375,1596,17815,false
order,5,6,^[^sjp][^an][^db],39,34375,1564,17514,false
order,5,7,^[^sjp][^an][^db],39,34375,1577,17672,false
order,5,8,^[^sjp][^an][^db],39,34375,1634,17578,false
order,5,9,^[^sjp][^an][^db],39,34375,1598,17493,false
order,5,10,^[^sjp][^an][^db],39,34375,1571,17561,false
order,5,11,^[^sjp][^an][^db],39,34375,1621,17745,false
order,5,12,^[^sjp][^an][^db],39,34375,1644,17933,false
order,5,13,^[^sjp][^an][^db],39,34375,1562,17567,false
order,5,14,^[^sjp][^an][^db],39,34375,1593,17681,false
