Nome,Depth,i,Seed,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
abba,5,1,4105328976,38,29806,1099,30982,false
abba,5,1,6370951248,39,361402,21277,36195,false
abba,5,2,9431657082,39,324200,18806,34175,false
abba,5,3,1874029365,37,218743,12793,33676,false
abba,5,4,5691784320,38,105247,6200,33110,false
abba,5,5,8392760514,39,95474,5816,33801,false
abba,5,6,4612780539,39,202173,11856,34112,false
abba,5,7,8261384957,39,500970,28403,33570,false
abba,5,8,2463075891,39,17675,1170,33403,false
abba,5,9,9135874206,39,254464,14454,32991,false
abba,5,10,7095231486,39,147177,8485,34017,false
abba,5,11,9842301657,39,285734,15989,33279,false
abba,5,12,2196735084,38,568222,32045,33949,false
abba,5,13,9067852413,39,437335,24639,34112,false
abba,5,14,2405681973,39,161596,9435,33012,false
abba,5,15,2738495106,38,117347,6823,33791,false
abba,5,16,1069782534,38,97303,5725,33377,false
abba,5,17,3018795246,39,598620,33780,33887,false
abba,5,18,1736058429,39,540975,30368,33372,false
abba,5,19,6087432195,38,543819,30835,34064,false
abba,5,20,4925731068,38,159120,8982,33000,false
abba,5,21,3486027915,38,399315,21388,32051,false
abba,5,22,6941372580,39,289492,16262,33045,false
abba,5,23,1068243795,39,335246,19392,34492,false
abba,5,24,1764028593,40,43742,2674,33266,false
abba,5,25,3857069214,39,479967,26768,32875,false
abba,5,26,9125784630,39,589032,32692,33303,false
abba,5,27,7914823056,39,519403,29500,33982,false
abba,5,28,1258360497,40,138214,8230,33862,false
abba,5,29,7965023841,38,427316,22555,31612,false
abba,7,1,4105328976,38,144477,8730,35000,false
abba,7,1,6370951248,38,196641,11929,35155,false
abba,7,2,9431657082,38,93961,5607,35059,false
abba,7,3,1874029365,38,91486,5638,34638,false
abba,7,4,5691784320,38,144705,8376,34325,false
abba,7,5,8392760514,39,373279,21907,35089,false
abba,7,6,4612780539,38,108045,6659,34962,false
abba,7,7,8261384957,39,347971,20638,35321,false
abba,7,8,2463075891,39,498913,28811,34744,false
abba,7,9,9135874206,39,590287,33913,34513,false
abba,7,10,7095231486,39,509692,28901,34184,false
abba,7,11,9842301657,38,480768,27188,33937,false
abba,7,12,2196735084,38,461200,26804,34585,false
abba,7,13,9067852413,39,238636,13921,34906,false
abba,7,14,2405681973,38,472736,27585,34928,false
abba,7,15,2738495106,39,440248,25949,35519,false
abba,7,16,1069782534,39,142242,8784,34980,false
abba,7,17,3018795246,38,5095,402,34707,false
abba,7,18,1736058429,37,156648,9679,35873,false
abba,7,19,6087432195,38,356598,21030,34790,false
abba,7,20,4925731068,39,349867,20344,35080,false
abba,7,21,3486027915,39,452602,25840,34599,false
abba,7,22,6941372580,39,77084,5058,34582,false
abba,7,23,1068243795,39,340360,20253,35170,false
abba,7,24,1764028593,38,546564,31757,34818,false
abba,7,25,3857069214,40,32693,2336,34678,false
abba,7,26,9125784630,39,267039,15325,34621,false
abba,7,27,7914823056,39,255308,14416,34774,false
abba,7,28,1258360497,39,540163,31617,35260,false
abba,7,29,7965023841,39,221992,13709,34973,false
abba,9,1,4105328976,38,411906,26462,38610,false
abba,9,1,6370951248,38,414737,25910,37501,false
abba,9,2,9431657082,38,113204,7090,37683,false
abba,9,3,1874029365,39,231958,14709,38165,false
abba,9,4,5691784320,38,437373,27622,37935,false
abba,9,5,8392760514,39,481387,30670,38298,false
abba,9,6,4612780539,38,545033,34595,37872,false
abba,9,7,8261384957,39,312645,19133,37582,false
abba,9,8,2463075891,39,351384,21665,37497,false
abba,9,9,9135874206,39,431205,27582,38660,false
abba,9,10,7095231486,38,290535,18127,37195,false
abba,9,11,9842301657,38,68100,4247,37059,false
abba,9,12,2196735084,38,66278,4421,37096,false
abba,9,13,9067852413,38,192532,12493,37880,false
abba,9,14,2405681973,37,361754,23176,37812,false
abba,9,15,2738495106,38,78311,5154,38035,false
abba,9,16,1069782534,39,123161,8059,37311,false
abba,9,17,3018795246,38,411878,26299,38343,false
abba,9,18,1736058429,37,149665,10067,38456,false
abba,9,19,6087432195,39,450258,29132,38803,false
abba,9,20,4925731068,39,574671,36453,37972,false
abba,9,21,3486027915,39,425181,26832,37740,false
abba,9,22,6941372580,38,524907,33191,37790,false
abba,9,23,1068243795,38,17603,1258,37806,false
abba,9,24,1764028593,39,429425,27839,38721,false
abba,9,25,3857069214,37,171867,10757,37779,false
abba,9,26,9125784630,38,319459,20363,37875,false
abba,9,27,7914823056,38,3630,366,38263,false
abba,9,28,1258360497,38,111224,7284,37914,false
abba,9,29,7965023841,38,379243,24263,37920,false
abba,11,1,4105328976,39,126270,8670,40762,false
abba,11,1,6370951248,38,106369,7510,40383,false
abba,11,2,9431657082,38,368896,25232,40774,false
abba,11,3,1874029365,38,413740,27988,40482,false
abba,11,4,5691784320,38,200974,13926,40907,false
abba,11,5,8392760514,38,3290,306,40481,false
abba,11,6,4612780539,37,535363,36551,40811,false
abba,11,7,8261384957,38,370771,25555,40824,false
abba,11,8,2463075891,38,82940,5769,40382,false
abba,11,9,9135874206,38,175969,11466,40001,false
abba,11,10,7095231486,38,495451,33035,39848,false
abba,11,11,9842301657,40,488002,32662,40225,false
abba,11,12,2196735084,40,158107,10786,40472,false
abba,11,13,9067852413,38,491265,33277,40376,false
abba,11,14,2405681973,38,102881,6879,39687,false
abba,11,15,2738495106,38,116904,7878,40233,false
abba,11,16,1069782534,38,406149,26448,39373,false
abba,11,17,3018795246,37,587544,39833,40640,false
abba,11,18,1736058429,39,151745,10359,40653,false
abba,11,19,6087432195,38,100280,6946,40592,false
abba,11,20,4925731068,38,554478,37176,40327,false
abba,11,21,3486027915,39,152472,10292,39165,false
abba,11,22,6941372580,39,99951,6929,40015,false
abba,11,23,1068243795,38,313609,21469,40709,false
