Nome,Depth,i,Seed,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
abba,5,1,4105328976,40,219497,11247,41044,false
abba,5,1,6370951248,40,220587,18110,51989,false
abba,5,2,9431657082,40,520975,36855,43304,false
abba,5,3,1874029365,39,592562,41086,41789,false
abba,5,4,5691784320,40,525161,40971,45876,false
abba,5,5,8392760514,39,108998,8153,45392,false
abba,5,6,4612780539,39,134348,9443,41289,false
abba,5,7,8261384957,40,547829,44331,48600,false
abba,5,8,2463075891,40,245794,18293,43595,false
abba,5,9,9135874206,38,174488,11955,41631,false
abba,5,10,7095231486,39,549643,36841,41085,false
abba,5,11,9842301657,39,512962,35122,41173,false
abba,5,12,2196735084,40,236316,16388,43762,false
abba,5,13,9067852413,39,85258,6156,44278,false
abba,5,14,2405681973,40,241585,18212,42835,false
abba,5,15,2738495106,39,531148,42440,47103,false
abba,5,16,1069782534,40,557395,43251,46101,false
abba,5,17,3018795246,40,553995,40649,43598,false
abba,5,18,1736058429,41,585169,43642,44804,false
abba,5,19,6087432195,39,256305,24244,45889,false
abba,5,20,4925731068,40,306048,21777,44477,false
abba,5,21,3486027915,41,186013,14560,43013,false
abba,5,22,6941372580,39,390639,26610,41349,false
abba,5,23,1068243795,39,134111,9199,39095,false
abba,5,24,1764028593,40,235313,15168,40186,false
abba,5,25,3857069214,41,176641,11605,43403,false
abba,5,26,9125784630,39,271048,20243,42413,false
abba,5,27,7914823056,39,288226,19968,42364,false
abba,5,28,1258360497,41,363336,28116,45606,false
abba,5,29,7965023841,40,159212,12481,42337,false
abba,7,1,4105328976,40,256116,20975,44612,false
abba,7,1,6370951248,40,201920,15018,45179,false
abba,7,2,9431657082,40,515405,34003,40427,false
abba,7,3,1874029365,39,401395,25479,39820,false
abba,7,4,5691784320,40,476483,31621,39721,false
abba,7,5,8392760514,41,225662,16969,45420,false
abba,7,6,4612780539,39,25287,2016,42927,false
abba,7,7,8261384957,40,27353,1770,45558,false
abba,7,8,2463075891,40,448432,30628,40665,false
abba,7,9,9135874206,39,98069,8488,41473,false
abba,7,10,7095231486,41,93255,6342,41576,false
abba,7,11,9842301657,39,518439,34436,39928,false
abba,7,12,2196735084,40,235803,15896,41672,false
abba,7,13,9067852413,39,62582,4333,43446,false
abba,7,14,2405681973,40,236694,17436,41631,false
abba,7,15,2738495106,39,500395,35387,42748,false
abba,7,16,1069782534,40,534565,39356,43821,false
abba,7,17,3018795246,40,547012,37757,40885,false
abba,7,18,1736058429,41,582888,41937,43175,false
abba,7,19,6087432195,39,58482,3839,37185,false
abba,7,20,4925731068,40,306962,20281,41577,false
abba,7,21,3486027915,41,184787,14496,41494,false
abba,7,22,6941372580,40,124823,8986,42227,false
abba,7,23,1068243795,39,103104,7302,40538,false
abba,7,24,1764028593,40,272698,20812,42572,false
abba,7,25,3857069214,41,187652,13317,43423,false
abba,7,26,9125784630,39,272977,19116,40779,false
abba,7,27,7914823056,39,32793,2096,42578,false
abba,7,28,1258360497,41,359941,28118,45949,false
abba,7,29,7965023841,40,599269,40885,41022,false
abba,9,1,4105328976,40,71293,5688,45432,false
abba,9,1,6370951248,40,86377,6181,45950,false
abba,9,2,9431657082,40,532669,36346,41779,false
abba,9,3,1874029365,39,412566,26860,40400,false
abba,9,4,5691784320,40,522378,38672,43469,false
abba,9,5,8392760514,39,114434,8365,43034,false
abba,9,6,4612780539,40,20547,1678,40220,false
abba,9,7,8261384957,40,527379,40201,45207,false
abba,9,8,2463075891,40,252817,17943,42086,false
abba,9,9,9135874206,39,102623,9072,41898,false
abba,9,10,7095231486,39,565256,36683,39532,false
abba,9,11,9842301657,39,308689,22280,42492,false
abba,9,12,2196735084,40,245795,16436,41646,false
abba,9,13,9067852413,40,160978,11944,44626,false
abba,9,14,2405681973,40,241624,17309,40905,false
abba,9,15,2738495106,39,507464,36384,42828,false
abba,9,16,1069782534,40,556665,41171,44110,false
abba,9,17,3018795246,40,562571,38967,41275,false
abba,9,18,1736058429,41,593128,42287,42951,false
abba,9,19,6087432195,39,63412,4799,38168,false
abba,9,20,4925731068,40,304708,20196,41734,false
abba,9,21,3486027915,41,196916,15068,41422,false
abba,9,22,6941372580,39,391591,26557,41188,false
abba,9,23,1068243795,40,100848,10764,43333,false
