Nome,Depth,i,Seed,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
abba,5,1,4105328976,40,219667,16426,45772,false
abba,5,1,6370951248,40,220737,20351,51460,false
abba,5,2,9431657082,40,521428,36889,43359,false
abba,5,3,1874029365,39,403282,26360,41710,false
abba,5,4,5691784320,40,525570,41186,46033,false
abba,5,5,8392760514,39,109083,8228,44956,false
abba,5,6,4612780539,39,134471,9613,41942,false
abba,5,7,8261384957,40,548241,44630,48679,false
abba,5,8,2463075891,40,246004,17941,43251,false
abba,5,9,9135874206,38,174636,12317,42571,false
abba,5,10,7095231486,39,550144,37149,41082,false
abba,5,11,9842301657,39,513397,35093,41135,false
abba,5,12,2196735084,40,236526,16817,44292,false
abba,5,13,9067852413,39,85333,6393,44600,false
abba,5,14,2405681973,40,241780,17481,42638,false
abba,5,15,2738495106,39,531576,42102,46872,false
abba,5,16,1069782534,40,557837,42955,45743,false
abba,5,17,3018795246,40,554466,40950,43836,false
abba,5,18,1736058429,41,585654,43443,44436,false
abba,5,19,6087432195,39,256471,23946,46498,false
abba,5,20,4925731068,40,306321,20886,43695,false
abba,5,21,3486027915,41,186156,14882,42180,false
abba,5,22,6941372580,39,390960,26518,41598,false
abba,5,23,1068243795,39,134214,9253,38995,false
abba,5,24,1764028593,40,235532,14775,39620,false
abba,5,25,3857069214,41,176782,11769,43477,false
abba,5,26,9125784630,39,271290,19955,41819,false
abba,5,27,7914823056,39,288475,19880,42352,false
abba,5,28,1258360497,41,363603,27996,45866,false
abba,5,29,7965023841,40,159317,12534,42201,false
abba,7,1,4105328976,40,256288,21151,44611,false
abba,7,1,6370951248,40,202070,15259,45666,false
abba,7,2,9431657082,40,515856,33830,40300,false
abba,7,3,1874029365,39,401753,25174,39721,false
abba,7,4,5691784320,40,476892,31799,39844,false
abba,7,5,8392760514,41,225830,17074,45294,false
abba,7,6,4612780539,39,25301,2025,43484,false
