Nome,Depth,i,Seed,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
abba,5,1,4105328976,38,28978,1705,34734,false
abba,5,1,6370951248,39,360574,21599,36160,false
abba,5,2,9431657082,39,323372,18203,33589,false
abba,5,3,1874029365,37,217915,12403,33440,false
abba,5,4,5691784320,38,104419,5878,32878,false
abba,5,5,8392760514,39,94646,5637,33323,false
abba,5,6,4612780539,39,201345,11822,34089,false
abba,5,7,8261384957,39,500142,28059,33338,false
abba,5,8,2463075891,39,16847,1115,33298,false
abba,5,9,9135874206,39,253636,13892,32302,false
abba,5,10,7095231486,39,146349,8550,33007,false
abba,5,11,9842301657,39,284906,15025,32695,false
abba,5,12,2196735084,38,567394,32046,33823,false
abba,5,13,9067852413,39,436507,23773,33399,false
abba,5,14,2405681973,39,160768,9003,32278,false
abba,5,15,2738495106,38,116519,6880,34025,false
abba,5,16,1069782534,38,96475,5614,33357,false
abba,5,17,3018795246,39,597792,32916,33053,false
abba,5,18,1736058429,39,540147,30408,33529,false
abba,5,19,6087432195,38,542991,29769,32963,false
abba,5,20,4925731068,38,158292,8595,32945,false
abba,5,21,3486027915,38,398487,20967,31948,false
abba,5,22,6941372580,39,288664,15982,33225,false
abba,5,23,1068243795,39,334418,18914,33842,false
abba,5,24,1764028593,40,42914,2599,33101,false
abba,5,25,3857069214,39,479139,26079,32551,false
abba,5,26,9125784630,39,588204,32486,33115,false
abba,5,27,7914823056,39,518575,29039,33952,false
abba,5,28,1258360497,40,137386,7584,33039,false
abba,5,29,7965023841,38,426488,22238,31339,false
abba,7,1,4105328976,38,143649,8391,34240,false
abba,7,1,6370951248,38,195813,11432,34030,false
abba,7,2,9431657082,38,93133,5392,34979,false
abba,7,3,1874029365,38,363695,20674,34239,false
abba,7,4,5691784320,38,143877,7942,33652,false
abba,7,5,8392760514,39,372451,21614,35041,false
abba,7,6,4612780539,38,107217,6431,34642,false
abba,7,7,8261384957,39,347143,20375,35029,false
abba,7,8,2463075891,39,498085,28246,34168,false
abba,7,9,9135874206,39,589459,33764,34550,false
abba,7,10,7095231486,39,508864,28766,34111,false
abba,7,11,9842301657,38,479940,26644,33227,false
abba,7,12,2196735084,38,460372,26354,33971,false
abba,7,13,9067852413,39,237808,13674,34423,false
abba,7,14,2405681973,38,471908,27138,34462,false
abba,7,15,2738495106,39,439420,25773,35250,false
abba,7,16,1069782534,39,141414,8714,34616,false
abba,7,17,3018795246,38,4267,346,34235,false
abba,7,18,1736058429,37,155820,9703,35747,false
abba,7,19,6087432195,38,355770,20868,34660,false
abba,7,20,4925731068,39,349039,20051,34514,false
abba,7,21,3486027915,39,451774,25973,34577,false
abba,7,22,6941372580,39,76256,5043,33783,false
abba,7,23,1068243795,39,339532,20145,34674,false
abba,7,24,1764028593,38,545736,31434,34580,false
abba,7,25,3857069214,40,31865,2240,34870,false
abba,7,26,9125784630,39,266211,15167,34455,false
abba,7,27,7914823056,39,254480,14337,34393,false
abba,7,28,1258360497,39,539335,31684,35270,false
abba,7,29,7965023841,39,221164,13448,34668,false
abba,9,1,4105328976,38,411078,26229,38087,false
abba,9,1,6370951248,38,36696,2491,36552,false
abba,9,2,9431657082,38,112376,6928,37251,false
abba,9,3,1874029365,39,231130,14531,37923,false
abba,9,4,5691784320,38,436545,27227,37364,false
abba,9,5,8392760514,39,480559,30005,37588,false
abba,9,6,4612780539,38,544205,34208,37616,false
abba,9,7,8261384957,39,311817,18799,37124,false
abba,9,8,2463075891,39,350556,21728,37418,false
abba,9,9,9135874206,39,430377,27124,37916,false
abba,9,10,7095231486,38,289707,18100,37098,false
abba,9,11,9842301657,38,67272,4015,36511,false
abba,9,12,2196735084,38,41275,2702,36544,false
abba,9,13,9067852413,38,191704,12019,36926,false
abba,9,14,2405681973,37,336976,21205,37085,false
abba,9,15,2738495106,38,77483,5023,37242,false
abba,9,16,1069782534,39,122333,8082,37114,false
abba,9,17,3018795246,38,411050,26377,38142,false
abba,9,18,1736058429,37,444338,29051,38567,false
abba,9,19,6087432195,39,449430,28434,38034,false
abba,9,20,4925731068,39,573843,36117,37658,false
abba,9,21,3486027915,39,424353,26456,37664,false
abba,9,22,6941372580,38,524079,33038,37770,false
abba,9,23,1068243795,38,16775,1133,37474,false
abba,9,24,1764028593,39,428597,27491,38404,false
abba,9,25,3857069214,37,171039,10554,37043,false
abba,9,26,9125784630,38,318631,20289,37627,false
abba,9,27,7914823056,38,2802,299,37714,false
abba,9,28,1258360497,38,110396,7282,37802,false
abba,9,29,7965023841,38,378415,24026,37761,false
abba,11,1,4105328976,39,125442,8301,40340,false
abba,11,1,6370951248,38,105541,7287,40006,false
abba,11,2,9431657082,38,368068,24696,40529,false
abba,11,3,1874029365,38,412912,27411,39856,false
abba,11,4,5691784320,38,200146,13170,40472,false
abba,11,5,8392760514,38,2462,255,39572,false
abba,11,6,4612780539,37,534535,36110,40300,false
abba,11,7,8261384957,38,369943,25009,40459,false
abba,11,8,2463075891,38,82112,5476,40151,false
