Nome,Depth,i,seed,regex,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
abba,1,1,4105328976,[c-t][tuv]z|,15,37,209712,33244,94505,true
warmup,1,1,4105328976,foo|m$,21,42,458553,79147,99435,true
order,1,1,4105328976,^[abc][cde][c-l]|sp|[o-r][o-y]\b|[st][t-z]\b,20,41,536699,93790,107482,true
abba,1,1,6370951248,[c-t][tuv]z|,15,37,369804,54063,96210,true
warmup,1,1,6370951248,foo,21,42,525100,86308,97155,true
order,1,1,6370951248,^[a-o][c-o][c-t][e-t],20,41,567874,92484,98465,true
abba,1,2,9431657082,z|hi[a-n]|[u-y][f-t]|[t-z]$,17,39,268862,40796,89244,true
warmup,1,2,9431657082,foo,21,42,198737,33154,91469,true
order,1,2,9431657082,^[a-o][c-o][c-t][e-t],20,41,295356,49727,106911,true
abba,1,3,1874029365,[^nota][tu]u||z,17,39,333640,49372,89414,true
warmup,1,3,1874029365,[fg]oo,21,42,268246,39360,94540,true
order,1,3,1874029365,^[abc][cde][c-l]i*|[f-t][o-y][o-z]$,20,41,227766,36350,109407,true
abba,1,4,5691784320,hi[a-n]|[f-t][t-z],14,36,64647,10201,89674,true
warmup,1,4,5691784320,[fg]oo,21,42,241733,36560,91549,true
order,1,4,5691784320,y*^[a-f][c-l]|[s-z][t-y]$,20,41,512515,90374,105076,true
abba,1,5,8392760514,hi|u[o-t]|t[a-h]|[s-z]e,17,39,74788,12356,90931,true
warmup,1,5,8392760514,foo|me,21,42,7972,1740,96058,true
order,1,5,8392760514,^[abc][cde]|pf[h-o]y|[f-t][o-t][o-z]$,20,41,396080,71560,117843,true
abba,1,6,4612780539,^c|t[^h]e|[f-t][t-z]|l$,14,36,262905,41080,102709,true
warmup,1,6,4612780539,foo,21,42,162364,25345,101334,true
order,1,6,4612780539,[f-o][o-t][p-t]|[abc][c-h],19,40,553359,93520,102583,true
abba,1,7,8261384957,it|yt|z|u|h[i-t][a-p],17,39,111712,19048,97349,true
warmup,1,7,8261384957,foo,21,42,43086,7016,91974,true
powers,1,1,4105328976,^x?x$,2,13,219121,131667,342864,true
order,1,7,8261384957,[st][t-z]\b|[o-r][o-y]\b,17,38,253106,41845,103521,true
warmup,1,8,2463075891,[fg]oo,21,42,255937,42721,104287,true
abba,1,8,2463075891,hi|u[o-t]|t[a-h]|[s-z]e,17,39,74788,13157,146133,true
order,1,8,2463075891,o\w[s-y]|\b[a-f][c-l],20,41,32015,5750,109443,true
warmup,1,9,9135874206,foo,21,42,311263,52471,102490,true
abba,1,9,9135874206,[a-s]\w[a-s][c-i][t-z]|[u-y][o-t],18,40,314490,50893,98552,true
warmup,1,10,7095231486,foo,21,42,5902,1469,95756,true
order,1,9,9135874206,^ac|pt|[st][t-z]\b|[o-r][o-y]\b|[c-o][c-o][l-o]$,20,41,451987,79333,109506,true
abba,1,10,7095231486,[u-y][f-t]z|,13,35,541520,82833,93927,true
powers,1,1,6370951248,^xx?$,2,13,181274,89662,295373,true
warmup,1,11,9842301657,foo,21,42,176863,26923,91943,true
order,1,10,7095231486,^[a-o][c-o][c-t][e-t],20,41,568717,101114,108489,true
abba,1,11,9842301657,[f-t][t-z]h|,12,34,332294,51002,92536,true
warmup,1,12,2196735084,foo,21,42,161217,27517,95662,true
abba,1,12,2196735084,v|ah|[e-o]i[c-i]|[hi][t-z]|\Bu,18,40,334169,56612,105912,true
order,1,11,9842301657,[^]zz|[bcd][e-h]|[o-t][t-y]$,19,40,184750,32595,112428,true
warmup,1,13,9067852413,foo,21,42,449215,81504,106021,true
abba,1,13,9067852413,[f-t][t-z]p|h|te,14,36,309652,48096,104725,true
order,1,12,2196735084,hu|[f-t][o-y][o-z]$,17,38,548450,91224,100318,true
powers,1,2,9431657082,^xxxx$|\bx?x$,3,14,354986,205103,278935,true
warmup,1,14,2405681973,foo,21,42,378533,62176,96896,true
order,1,13,9067852413,^ad|be|t[o-z]|o[o-y]|c[c-h],17,38,432050,76395,105896,true
abba,1,14,2405681973,z|u|[i-t]h|[n-t][f-t]t[a-i]|[t-z]$,18,40,423682,75255,109975,true
warmup,1,15,2738495106,foo,21,42,5902,1485,104725,true
abba,1,15,2738495106,[^a][tuv]z|,15,37,346447,52830,90505,true
order,1,14,2405681973,[c-o]t[o-z]|[h-o][op][o-y]|[bcd]e|sy$,21,42,282785,51299,124523,true
warmup,1,16,1069782534,foo,21,42,5902,1453,92302,true
abba,1,16,1069782534,[^c](h|z|u)|yt|v[f-t]t|$\1,19,41,216907,36971,101928,true
order,1,15,2738495106,^[a-e][c-l]|mmj[st]|[t-z]\b|n[o-r],18,39,183152,32111,101521,true
warmup,1,17,3018795246,foo|f$,21,42,108003,17876,99990,true
powers,1,3,1874029365,(^[^]*)\1$,6,17,166103,88396,340719,true
abba,1,17,3018795246,[^c](h|z|u)|^p|^v|l^b\1,18,40,449231,71660,105037,true
order,1,16,1069782534,^[a-o][c-o][c-t][e-t],20,41,151181,24704,115286,true
warmup,1,18,1736058429,foo,21,42,421546,68754,96443,true
abba,1,18,1736058429,[f-t][t-z]|ph,14,36,79260,13047,98583,true
order,1,17,3018795246,^[a-o][c-o][c-t][e-t],20,41,50487,8516,104021,true
warmup,1,19,6087432195,foo|cc,21,42,7972,1812,106412,true
powers,1,4,5691784320,^x\1([^]x)*x$,6,17,579730,231557,236573,true
abba,1,19,6087432195,[u-y][i-t]|z|u|l$,14,36,423226,63848,96646,true
warmup,1,20,4925731068,foo,21,42,578008,92927,97583,true
order,1,18,1736058429,st|t[o-z]|o[o-y]|ee\B|s$,15,36,466646,83223,108912,true
abba,1,20,4925731068,[a-t][c-s][c-t][t-z]v||mo|u[o-t],17,39,543319,85802,99333,true
warmup,1,21,3486027915,foo,21,42,278259,44442,96791,true
order,1,19,6087432195,[c-o][e-l][lmn]|mn|[o-t][o-y]\b,18,39,446427,75558,104727,true
abba,1,21,3486027915,[^]un|zv|z|[mno][i-n][c-t]|u[o-t]|t[a-h][i-t],19,41,329252,57158,130545,true
warmup,1,22,6941372580,foo,21,42,440718,73481,102826,true
order,1,20,4925731068,^f|tl|[a-o]o[o-t]|[abc][c-h],20,41,100918,17942,112612,true
abba,1,22,6941372580,[^]i|u^t|[tuv][a-e]|z|u[rst]|[i-t]h[a-p],18,40,507148,92329,117288,true
warmup,1,23,1068243795,foo,21,42,509441,86673,102776,true
order,1,21,3486027915,o[o-s]s|^[a-i][c-l]|r[f-s]t,20,41,215688,40266,108555,true
powers,1,5,8392760514,^x?x$,2,13,280484,212061,450200,true
abba,1,23,1068243795,[c-t][tuv]z|,15,37,50318,8916,93129,true
warmup,1,24,1764028593,foo|xs,21,42,7972,1915,113685,true
order,1,22,6941372580,^[abc][cde]|in[o-z]|[i-o][o-t][p-w]|[c-l]u$,20,41,446994,86880,120475,true
abba,1,24,1764028593,[f-t][t-z]h|,12,34,342947,52674,91849,true
warmup,1,25,3857069214,foo,21,42,553480,94083,101818,true
order,1,23,1068243795,^[a-o][c-o][c-t][e-t],20,41,340679,57175,103053,true
abba,1,25,3857069214,u[rst]|t*^n|^t|^v|z|y[^c]|a[l-y]$,17,39,433427,79364,115351,true
warmup,1,26,9125784630,foo,21,42,330759,54862,97912,true
order,1,24,1764028593,^[a-o][c-o][c-t][e-t],20,41,418980,71520,106615,true
abba,1,26,9125784630,[f-t]([t-z]|h),14,36,254555,39048,91286,true
warmup,1,27,7914823056,foo,21,42,594583,93068,94396,true
order,1,25,3857069214,r*[f-t][o-t][o-z]$,17,38,314449,51580,99490,true
powers,1,6,4612780539,^x?x$,2,13,158058,157429,389128,true
abba,1,27,7914823056,[f-t][t-z]|ph,14,36,406191,61738,92599,true
warmup,1,28,1258360497,[fg]oo,21,42,349461,56721,95427,true
order,1,26,9125784630,^c|\b[a-o][c-h][c-o]|[l-o]o|[st][yz],21,42,589074,101537,103912,true
abba,1,28,1258360497,it|yt|z|u|le[f-t][t-z]h|[i-t]h,18,40,260842,42893,104459,true
warmup,1,29,7965023841,foo,21,42,64649,10578,94615,true
order,1,27,7914823056,[st][t-z]\b|[o-r][o-y]\b|ps,17,38,95784,16469,109443,true
abba,1,29,7965023841,[t-z]e|h[i-t]|\Bu,15,37,503213,77551,92083,true
warmup,3,1,4105328976,foo,21,42,174260,27439,89177,true
abba,3,1,4105328976,^v|p|mo|u[o-t]|[c-i][t-z],16,38,252916,40986,96303,true
order,1,28,1258360497,ty|[l-o][o-s][p-w]|[bcd][c-i][e-o],21,42,158043,27673,105849,true
warmup,3,1,6370951248,foo,21,42,352673,58112,99178,true
abba,3,1,6370951248,^p|ab[u-y]h|[i-t]h|z|u|t$,16,38,479720,82894,104411,true
warmup,3,2,9431657082,foo,21,42,79226,12516,99412,true
order,1,29,7965023841,^[a-o][c-o][c-t][e-t],20,41,578125,111397,115522,true
powers,1,7,8261384957,(^x*)\1$,6,17,297143,301984,446631,true
abba,3,2,9431657082,[^c](h|z|u)|^p|^v|wsn\1,18,40,122294,22485,96271,true
warmup,3,3,1874029365,foo,21,42,112021,19907,97287,true
order,3,1,4105328976,^c|t[^w]g|o[s-y]|gnvci|bp|fi|y$,17,38,496153,93958,118428,true
abba,3,3,1874029365,[c-i]y|t|z|u|[t-z]$,15,37,534192,82380,99240,true
warmup,3,4,5691784320,foo,21,42,135336,21876,98396,true
order,3,1,6370951248,^[a-o][c-o][c-t][e-t],20,41,156604,27345,114928,true
powers,1,8,2463075891,^x(x*?)\1x$,6,17,322288,140320,228465,true
abba,3,4,5691784320,^[^w]hi|z|[u-z][i-t]|[f-t]h|[tuv]$,17,39,175850,31361,101676,true
warmup,3,5,8392760514,foo|mx,21,42,7972,1844,97427,true
order,3,2,9431657082,v^efs[^w]|[e-i][i-m]|[o-t][o-y]$,18,39,522220,104880,128490,true
abba,3,5,8392760514,[^c](h|z|u)|it|^p|^y$\1,19,41,421553,68597,99020,true
warmup,3,6,4612780539,foo,21,42,319490,51721,95786,true
order,3,3,1874029365,^[a-g][c-o][c-t][e-t]|m[o-s],21,42,579280,102927,108303,true
abba,3,6,4612780539,[^][tu]z|,13,35,313467,47611,90427,true
warmup,3,7,8261384957,foo,21,42,271223,42549,97599,true
powers,1,9,9135874206,^xx(x*)\1$,6,17,415656,205213,295561,true
abba,3,7,8261384957,^h[t-z]z|u|[u-z][e-t][a-r]|hi,15,37,294921,47924,98787,true
warmup,3,8,2463075891,foo,21,42,497063,83410,98426,true
order,3,4,5691784320,t[o-z]|o[o-y]|em|[e-i]i,16,37,87056,15204,125287,true
abba,3,8,2463075891,[^][tu]z|,13,35,161585,25798,90317,true
warmup,3,9,9135874206,foo|g^ry$,21,42,86257,14969,113319,true
order,3,5,8392760514,^pf|[f-o][f-s][l-t][o-y]|[bcd][c-h][c-s],20,41,554452,104927,114849,true
abba,3,9,9135874206,y[i-t]|u|[p-y][f-t]i[a-r]\b|i[t-z]|l$,17,39,372135,60113,96021,true
powers,1,10,7095231486,^x$|^xx(x*?)\1$,7,18,422933,173634,244825,true
warmup,3,10,7095231486,foo,21,42,5867,1437,109020,true
order,3,6,4612780539,h^o|gs|[o-t][o-y]\b|[e-i][i-m],18,39,344124,59674,101677,true
abba,3,10,7095231486,[i-t]h|z|u|^p,15,37,227723,38580,94146,true
warmup,3,11,9842301657,foo,21,42,199515,30798,92271,true
order,3,7,8261384957,o\w[s-y]|^[a-f][c-l]|tb,20,41,323799,54534,100193,true
abba,3,11,9842301657,[f-t][t-z]|ph,14,36,578915,88208,93318,true
warmup,3,12,2196735084,foo,21,42,488373,80614,99521,true
order,3,8,2463075891,[^ew]o[o-y]|dw|[abc][c-h],18,39,78149,14141,104287,true
abba,3,12,2196735084,[^]z|u|h[i-t],14,36,22652,4344,93426,true
warmup,3,13,9067852413,foo,21,42,5962,1484,110272,true
abba,3,13,9067852413,[f-t][t-z]h|,12,34,299118,46002,90802,true
order,3,9,9135874206,[st][t-z]\b|[o-r][o-y]\b|[c-o][c-o][l-o]$,19,40,164589,28689,114693,true
powers,1,11,9842301657,^x?x$,2,13,489591,373799,408848,true
warmup,3,14,2405681973,foo,21,42,180957,29251,100240,true
abba,3,14,2405681973,[f-t][t-z]h|,12,34,285037,43533,93958,true
order,3,10,7095231486,[^h]ps|^[a-f][c-l]|o[st]|sd$,20,41,527625,92490,108850,true
warmup,3,15,2738495106,foo|gxw,21,42,15824,3094,107068,true
abba,3,15,2738495106,[^c](h|z|u)|^p|^v|ma|i[f-t]$\1,19,41,301306,55393,119366,true
order,3,11,9842301657,^[a-o][c-o][c-t][e-t],20,41,525802,96865,110131,true
warmup,3,16,1069782534,foo,21,42,5902,1437,97661,true
order,3,12,2196735084,[c-l][^eu][op]|h^t|[st][t-z]\b,18,39,194482,35189,108225,true
