Nome,Depth,i,seed,regex,regex_shrunk,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
warmup,1,1,4105328976,foo|m$,foo|m$,21,42,458553,80720,101830,true
abba,1,1,4105328976,[c-t][tuv]z|,[c-t][tuv]z|,15,37,209712,33542,98983,true
order,1,1,4105328976,^[abc][cde][c-l]|sp|[o-r][o-y]\b|[st][t-z]\b,^[abc][cde][c-l]|sp|[o-r][o-y]\b|[st][t-z]\b,20,41,536699,95861,110315,true
abba,1,1,6370951248,[c-t][tuv]z|,[c-t][tuv]z|,15,37,369804,57128,101350,true
warmup,1,1,6370951248,foo,foo,21,42,525100,90880,102271,true
order,1,1,6370951248,^[a-o][c-o][c-t][e-t],^[a-o][c-o][c-t][e-t],20,41,567874,98880,105224,true
abba,1,2,9431657082,z|hi[a-n]|[u-y][f-t]|[t-z]$,z|hi[a-n]|[u-y][f-t]|[t-z]$,17,39,268862,42502,92973,true
warmup,1,2,9431657082,foo,foo,21,42,198737,35033,96693,true
order,1,2,9431657082,^[a-o][c-o][c-t][e-t],^[a-o][c-o][c-t][e-t],20,41,295356,51924,112271,true
abba,1,3,1874029365,[^nota][tu]u||z,[^a-t][tu]u||z,17,39,333640,52612,95396,true
warmup,1,3,1874029365,[fg]oo,[fg]oo,21,42,268246,42377,100896,true
powers,1,1,4105328976,^x?x$,^x?x$,2,13,219121,163823,405615,true
order,1,3,1874029365,^[abc][cde][c-l]i*|[f-t][o-y][o-z]$,^[abc][cde][c-l]i*|[f-t][o-y][o-z]$,20,41,227766,38049,115194,true
abba,1,4,5691784320,hi[a-n]|[f-t][t-z],hi[a-n]|[f-t][t-z],14,36,64647,10751,94692,true
warmup,1,4,5691784320,[fg]oo,{0}[fg]oo,21,42,241733,38971,96209,true
order,1,4,5691784320,y*^[a-f][c-l]|[s-z][t-y]$,y*^[a-f][c-l]|[s-z][t-y]$,20,41,512515,94911,109115,true
abba,1,5,8392760514,hi|u[o-t]|t[a-h]|[s-z]e,hi|u[o-t]|t[a-h]|[s-z]e,17,39,74788,13235,93302,true
warmup,1,5,8392760514,foo|me,foo|me,21,42,7972,1859,98724,true
order,1,5,8392760514,^[abc][cde]|pf[h-o]y|[f-t][o-t][o-z]$,^[abc][cde]|pf[h-o]y|[f-t][o-t][o-z]$,20,41,396080,72192,118506,true
abba,1,6,4612780539,^c|t[^h]e|[f-t][t-z]|l$,^c|t[^h]e|[f-t][t-z]|l$,14,36,262905,41611,103600,true
warmup,1,6,4612780539,foo,foo,21,42,162364,25533,101553,true
powers,1,1,6370951248,^xx?$,^xx?$,2,13,181274,96270,315968,true
order,1,6,4612780539,[f-o][o-t][p-t]|[abc][c-h],[f-o][o-t][p-t]|[abc][c-h],19,40,553359,93942,102989,true
abba,1,7,8261384957,it|yt|z|u|h[i-t][a-p],it|yt|z|u|h[i-t][a-p],17,39,111712,18782,97396,true
warmup,1,7,8261384957,foo,foo,21,42,43086,6938,92489,true
order,1,7,8261384957,[st][t-z]\b|[o-r][o-y]\b,[st][t-z]\b|[o-r][o-y]\b,17,38,253106,41455,103192,true
warmup,1,8,2463075891,[fg]oo,{0}[fg]oo,21,42,255937,43096,105442,true
abba,1,8,2463075891,hi|u[o-t]|t[a-h]|[s-z]e,hi|u[o-t]|t[a-h]|[s-z]e,17,39,74788,13094,144553,true
order,1,8,2463075891,o\w[s-y]|\b[a-f][c-l],o\w[s-y]|\b[a-f][c-l],20,41,32015,5657,109474,true
warmup,1,9,9135874206,foo,foo,21,42,311263,52049,101412,true
abba,1,9,9135874206,[a-s]\w[a-s][c-i][t-z]|[u-y][o-t],[a-s]\w[a-s][c-i][t-z]|[u-y][o-t],18,40,314490,50612,98787,true
warmup,1,10,7095231486,foo,foo,21,42,5902,1437,96505,true
