Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Nossa_fitness,Numero_de_comparacoes,Tempo_avaliacao,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
warmup,5,1,2967301147,f.o,f.o,21,42,1,0,175,32668,false
warmup,5,1,5600405384,f.o,f.o,21,42,1,0,157,34680,false
warmup,5,2,1632819610,foo,{0}foo,21,42,273493,0,15358,33532,false
warmup,5,3,1412034944,f.o,f.o,21,42,1,1,164,36057,false
warmup,5,4,9724161943,f.o,f.o,21,42,1,0,161,35078,false
warmup,5,5,4037724866,f.o,f.o,21,42,1,0,171,32697,false
warmup,5,6,8370032799,f.o,f.o,21,42,1,0,149,35033,false
warmup,5,7,2767986875,f.o,f.o,21,42,1,0,164,32517,false
warmup,5,8,3141506592,f.o,f.o,21,42,1,0,216,37706,false
warmup,5,9,3313543896,f.o,f.o,21,42,1,0,175,34791,false
warmup,5,10,8657690939,f.o,f.o,21,42,1,0,174,34409,false
warmup,5,11,9696640194,f.o,f.o,21,42,1,0,155,36211,false
warmup,5,12,6621545651,f.o,f.o,21,42,1,0,175,31968,false
warmup,5,13,2492462788,f.o,f.o,21,42,1,1,155,37593,false
warmup,5,14,3404588599,f.o,f.o,21,42,1,0,173,36386,false
warmup,5,15,2330977742,f.o,f.o,21,42,1,0,166,38055,false
warmup,5,16,6361187489,foo,foo,21,42,324695,0,18421,33936,false
warmup,5,17,2805026820,f.o,f.o,21,42,1,0,161,33395,false
warmup,5,18,4323456912,f.o,f.o,21,42,1,1,169,31239,false
warmup,5,19,8361101999,f.o,f.o,21,42,1,0,153,33001,false
warmup,5,20,9935136846,f.o,f.o,21,42,1,1,196,32329,false
warmup,5,21,5217407358,f.o,f.o,21,42,1,0,155,35012,false
warmup,5,22,5619256299,f.o,f.o,21,42,1,0,153,34974,false
warmup,5,23,4560422870,f.o,f.o,21,42,1,0,185,34808,false
warmup,5,24,5236888092,f.o,f.o,21,42,1,0,162,37913,false
warmup,5,25,1337360711,f.o,f.o,21,42,1,0,178,38720,false
warmup,5,26,7659837985,f.o,f.o,21,42,1,0,151,34813,false
warmup,5,27,2521100877,f.o,f.o,21,42,1,0,159,32166,false
warmup,5,28,8801535107,f.o,f.o,21,42,1,0,170,38239,false
warmup,5,29,9651599436,f.o,f.o,21,42,1,0,170,38598,false
anchors,5,1,2967301147,k$,k$,21,42,1,0,168,29910,false
anchors,5,1,5600405384,k$,k$,21,42,1,0,174,30848,false
anchors,5,2,1632819610,k$,k$,21,42,1,0,175,215347,true
anchors,5,3,1412034944,k$,k$,21,42,1,0,247,36351,false
anchors,5,4,9724161943,k$,k$,21,42,1,0,207,33694,false
anchors,5,5,4037724866,k$,k$,21,42,1,0,168,32926,false
anchors,5,6,8370032799,k$,k$,21,42,1,0,166,32709,false
anchors,5,7,2767986875,k$,k$,21,42,1,1,165,30741,false
anchors,5,8,3141506592,k$,k$,21,42,1,1,182,39553,false
anchors,5,9,3313543896,k$,k$,21,42,1,1,178,29141,false
anchors,5,10,8657690939,k$,k$,21,42,1,0,187,30939,false
anchors,5,11,9696640194,k$,k$,21,42,1,0,200,31256,false
anchors,5,12,6621545651,k$,k$,21,42,1,0,257,31523,false
anchors,5,13,2492462788,k$,k$,21,42,1,1,187,31352,false
anchors,5,14,3404588599,k$,k$,21,42,1,0,188,30826,false
anchors,5,15,2330977742,k$,k$,21,42,1,0,195,33322,false
anchors,5,16,6361187489,k$,k$,21,42,1,0,191,30410,false
anchors,5,17,2805026820,k$,k$,21,42,1,1,203,33190,false
anchors,5,18,4323456912,k$,k$,21,42,1,1,179,30766,false
anchors,5,19,8361101999,k$,k$,21,42,1,1,183,32086,false
anchors,5,20,9935136846,k$,k$,21,42,1,0,180,30517,false
anchors,5,21,5217407358,k$,k$,21,42,1,0,195,32005,false
anchors,5,22,5619256299,k$,k$,21,42,1,0,206,32128,false
anchors,5,23,4560422870,k$,k$,21,42,198273,0,10657,30888,false
anchors,5,24,5236888092,k$,k$,21,42,1,0,175,60668,true
anchors,5,25,1337360711,k$,k$,21,42,1,1,185,35697,false
anchors,5,26,7659837985,k$,k$,21,42,1,0,196,31825,false
anchors,5,27,2521100877,k$,k$,21,42,1,1,180,30965,false
anchors,5,28,8801535107,k$,k$,21,42,1,0,181,34711,false
anchors,5,29,9651599436,k$,k$,21,42,1,0,180,32851,false
ranges,5,1,2967301147,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,17692,0,9116,103208,true
ranges,5,1,5600405384,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,59328,0,14579,113148,true
ranges,5,2,1632819610,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,282154,0,64110,125983,true
ranges,5,3,1412034944,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,136029,0,27580,96718,true
ranges,5,4,9724161943,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,22404,0,9232,113431,true
ranges,5,5,4037724866,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,582834,0,95363,97997,true
ranges,5,6,8370032799,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,104754,0,21251,110110,true
ranges,5,7,2767986875,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,98975,0,20180,113303,true
ranges,5,8,3141506592,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,242370,0,52882,107958,true
ranges,5,9,3313543896,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,431360,0,74555,115505,true
ranges,5,10,8657690939,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,17544,0,8818,97169,true
ranges,5,11,9696640194,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,224763,0,44029,105888,true
ranges,5,12,6621545651,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,69571,0,15522,114104,true
ranges,5,13,2492462788,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,251936,0,47353,154403,true
ranges,5,14,3404588599,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,219678,0,42967,118831,true
ranges,5,15,2330977742,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,279931,0,66649,121962,true
ranges,5,16,6361187489,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,194836,0,38033,119039,true
ranges,5,17,2805026820,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,135173,0,34246,126236,true
ranges,5,18,4323456912,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,49589,0,14372,109268,true
ranges,5,19,8361101999,de|a..$|.b|ad|ff|ee,de|a..$|.b|ad|ff|ee,21,42,1,0,206,105620,true
ranges,5,20,9935136846,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,17647,0,9208,131527,true
ranges,5,21,5217407358,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,100400,1,34345,116071,true
