Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Nossa_fitness,Numero_de_comparacoes,Tempo_avaliacao,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
warmup,5,1,2967301147,l^f|foo|^s$,l^f|foo|^s$,21,42,46281,0,3011,84193,true
order,5,1,2967301147,^[a-e][c-l]|rznty|o[o-y][p-y]|\b[f-o]i,^[a-e][c-l]|rznty|o[o-y][p-y]|\b[f-o]i,20,41,251813,0,32695,98412,true
warmup,5,1,5600405384,[fg]oo,[fg]oo,21,42,286333,0,26186,57552,false
order,5,1,5600405384,[^]h^wc|^[abc][c-h]|[a-o]o[o-t]|[e-i]i,.h^wc|[abc][c-h]|[a-o]o[o-t]|[e-i]i,21,42,501660,0,60187,77833,true
order,5,2,1632819610,^[abc][cde][c-l]|g[^h]o|[st][t-z]\b|[o-r][s-y]\b|p$,^[abc][cde][c-l]|g[^h]o|[st][t-z]\b|[o-r][s-y]\b|p$,20,41,387571,0,40926,73892,true
order,5,3,1412034944,^[a-o][c-o][c-t][e-t],^[a-o][c-o][c-t][e-t],20,41,379487,0,28805,44635,false
abba,5,1,2967301147,[^oi]v|n*[f-t](b|u)|hi|[a-i][t-z]$\1,[^i-o]v|n*[f-t](b|u)|hi|[a-i][t-z]$\#,18,40,379680,0,250232,370557,true
abba,5,1,5600405384,[c-t][tuv]z|,[c-t][tuv]z|,15,37,423007,0,24040,37172,false
warmup,5,2,1632819610,foo,foo,21,42,367175,0,255695,282177,true
abba,5,2,1632819610,t\b|phi|^n|^v|\Bu|[yz]\B,t\b|phi|^n|v|\Bu|[yz]\B,18,40,440711,0,48781,62619,true
warmup,5,3,1412034944,[fg]oo,[fg]oo,21,42,434339,0,49823,67260,true
abba,5,3,1412034944,h[i-t]|[t-z]e|\Bu,h[i-t]|[t-z]e|\Bu,15,37,528926,0,33305,38923,false
order,5,4,9724161943,[f-o][o-t][p-t]|[abc][c-h],[f-o][o-t][p-t]|[abc][c-h],19,40,248431,0,21084,233581,true
warmup,5,4,9724161943,[fg]oo,[fg]oo,21,42,401677,0,49765,67153,true
abba,5,4,9724161943,^n|mi|u|[yz],^n|mi|u|[yz],14,36,244564,0,18573,46154,false
warmup,5,5,4037724866,foo,foo,21,42,141466,1,15843,61810,true
abba,5,5,4037724866,it|yt|z|u|h[f-t][a-n]|[t-z]$,it|yt|z|u|h[f-t][a-n]|[t-z]$,18,40,549023,0,57106,68400,true
order,5,5,4037724866,z^ltw|[abc][c-h]e|[f-t][o-t][o-z]$,z^ltw|[abc][c-h]e|[f-t][o-t][o-z]$,20,41,348453,0,50758,97466,true
abba,5,6,8370032799,[c-t][tuv]z|,[c-t][tuv]z|,15,37,499168,0,36075,44160,false
powers,5,1,2967301147,(^x*?x)\1$,{0}(^x*?x)\#$,6,17,408146,1,474371,681260,true
order,5,6,8370032799,sb[^]g[p-t]|[abc][c-h]e|[f-t][o-t][o-z]$,sb[^]g[p-t]|[abc][c-h]e|[f-t][o-t][o-z]$,20,41,509087,0,66523,89438,true
abba,5,7,2767986875,[f-t][t-z]|l$,[f-t][t-z]|l$,13,35,169972,1,11896,67350,true
warmup,5,6,8370032799,foo,foo,21,42,72432,0,6605,161277,true
order,5,7,2767986875,^[a-e][c-l]|wt[o-z]|o[o-y][s-y]|[o-y]ty|w$,^[a-e][c-l]|wt[o-z]|o[o-y][s-y]|[o-y]ty|w$,20,41,307253,0,36712,93199,true
warmup,5,7,2767986875,foo,foo,21,42,198064,0,22657,51313,false
order,5,8,3141506592,^[abc][c-l]|tz|[^el][m-t][o-y]\b$,^[abc][c-l]|tz|[^el][m-t][o-y]\b$,20,41,132634,1,14876,66749,true
warmup,5,8,3141506592,foo,foo,21,42,322370,0,31568,56662,false
abba,5,8,3141506592,[^c](h|z|u)|yo[f-t]t|$\1,[^c](h|z|u)|yo[f-t]t|$\#,17,39,546503,0,43322,177614,true
abba,5,9,3313543896,[c-t][tuv]z|,[c-t][tuv]z|,15,37,451744,0,29115,38672,false
order,5,9,3313543896,^[a-o][c-o][c-t][e-t],^[a-o][c-o][c-t][e-t],20,41,556259,0,67087,72226,true
warmup,5,9,3313543896,foo,foo,21,42,471380,0,76539,88363,true
abba,5,10,8657690939,[^][tu]z|,.[tu]z|,13,35,146040,0,9956,34022,false
warmup,5,10,8657690939,[fg]oo,[fg]oo,21,42,152273,0,8312,50964,false
abba,5,11,9696640194,[c-t][tuv]z|,[c-t][tuv]z|,15,37,172074,0,9099,37915,false
abba,5,12,6621545651,z|u|[i-t]h|[n-t][f-t]t[a-i]|[t-z]$,z|u|[i-t]h|[n-t][f-t]t[a-i]|[t-z]$,18,40,356262,0,22381,41426,false
warmup,5,11,9696640194,foo,foo,21,42,561236,0,47504,49576,false
order,5,10,8657690939,^[a-o][c-o][c-t][e-t],^[a-o][c-o][c-t][e-t],20,41,42865,0,4354,160857,true
warmup,5,12,6621545651,foo,foo,21,42,560150,0,51249,53270,false
order,5,11,9696640194,^[a-o][c-o][c-t][e-t],^[a-o][c-o][c-t][e-t],20,41,290825,0,18422,46352,false
order,5,12,6621545651,^[a-g][c-o][c-t][e-t]|loy|h$,^[a-g][c-o][c-t][e-t]|loy|h$,20,41,94551,0,6909,62163,true
order,5,13,2492462788,^[a-o][c-o][c-t][e-t],^[a-o][c-o][c-t][e-t],20,41,81887,0,5117,47120,false
order,5,14,3404588599,[^e]s[t-y]$|^[a-f][c-o][c-t][e-t],[^e]s[t-y]$|^[a-f][c-o][c-t][e-t],21,42,106265,0,8840,53395,false
powers,5,1,5600405384,^x?x$,^x?x$,2,13,469318,0,557770,650235,true
order,5,15,2330977742,^[abc][c-h][c-l]|po|[f-t][o-t][o-y]\b,^[abc][c-h][c-l]|po|[f-t][o-t][o-y]\b,20,41,216328,0,15329,68688,true
warmup,5,13,2492462788,foo,foo,21,42,387196,0,272832,292043,true
order,5,16,6361187489,[^]ft^|^[a-e][c-l]|[t-y]$,.ft^|^[a-e][c-l]|[t-y]$,18,39,74065,0,6049,52641,false
warmup,5,14,3404588599,foo,foo,21,42,25476,0,2119,66245,true
abba,5,13,2492462788,[f-t]\1([t-z]|h),[f-t]\#([t-z]|h),14,36,362869,0,16615,432827,true
warmup,5,15,2330977742,foo,foo,21,42,5904,0,922,39670,false
order,5,17,2805026820,[^]fi|^[a-o][c-o][c-t][e-t],.fi|^[a-o][c-o][c-t][e-t],20,41,183585,0,15279,108210,true
warmup,5,16,6361187489,foo,foo,21,42,542278,0,35946,39076,false
warmup,5,17,2805026820,[fg]oo,[fg]oo,21,42,11755,0,1471,57072,false
order,5,18,4323456912,ty|o[o-t]s|\b[a-o][c-l][c-o][e-s]|^i[nop],ty|o[o-t]s|\b[a-o][c-l][c-o][e-s]|^i[nop],21,42,224671,0,20595,72338,true
warmup,5,18,4323456912,foo|g$,foo|g$,21,42,197499,0,18250,75513,true
order,5,19,8361101999,me|[bcd][e-h]|[o-t][t-y]$,me|[bcd][e-h]|[o-t][t-y]$,19,40,499409,0,56081,72112,true
order,5,20,9935136846,^[a-o][c-o][c-t][e-t],^[a-o][c-o][c-t][e-t],20,41,66392,0,6217,87144,true
