Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Nossa_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
warmup,5,1,2967301147,foo,foo,21,268,46348,2553,11869,true
warmup,5,1,5600405384,foo,foo,21,268,230072,10085,12727,true
warmup,5,2,1632819610,foo,foo,21,268,289681,12472,12827,true
warmup,5,3,1412034944,foo,foo,21,268,97547,4771,12197,true
warmup,5,4,9724161943,foo,foo,21,268,224835,9419,12173,true
warmup,5,5,4037724866,foo,foo,21,268,103095,5168,11992,true
warmup,5,6,8370032799,foo,foo,21,268,30210,1821,12197,true
warmup,5,7,2767986875,foo,foo,21,268,118831,5391,11391,true
warmup,5,8,3141506592,foo,foo,21,268,841,125,11235,true
warmup,5,9,3313543896,foo,foo,21,268,125946,5844,12266,true
warmup,5,10,8657690939,foo,foo,21,268,295080,12359,12531,true
warmup,5,11,9696640194,foo,foo,21,268,15973,1063,12094,true
warmup,5,12,6621545651,foo,foo,21,268,47784,2594,11797,true
warmup,5,13,2492462788,foo,foo,21,268,67199,3469,11906,true
warmup,5,14,3404588599,foo,foo,21,268,57486,2875,12203,true
warmup,5,15,2330977742,foo,foo,21,268,76761,3641,12125,true
warmup,5,16,6361187489,foo,foo,21,268,64685,3266,11984,true
warmup,5,17,2805026820,foo,foo,21,268,133859,6078,11938,true
warmup,5,18,4323456912,foo,foo,21,268,88266,4484,11890,true
warmup,5,19,8361101999,foo,foo,21,268,266571,11203,12375,true
warmup,5,20,9935136846,foo,foo,21,268,266166,11094,12328,true
warmup,5,21,5217407358,foo,foo,21,268,190711,8297,11953,true
warmup,5,22,5619256299,foo,foo,21,268,41850,2313,11531,true
warmup,5,23,4560422870,foo,foo,21,268,16402,1032,11828,true
warmup,5,24,5236888092,foo,foo,21,268,25550,1625,11953,true
warmup,5,25,1337360711,foo,foo,21,268,51540,2532,11125,true
warmup,5,26,7659837985,foo,foo,21,268,97593,4766,12656,true
warmup,5,27,2521100877,foo,foo,21,268,38727,2157,10960,true
warmup,5,28,8801535107,foo,foo,21,268,199039,8703,12156,true
warmup,5,29,9651599436,foo,foo,21,268,36007,2032,12109,true
anchors,5,1,2967301147,k$,k$,21,355,10729,782,13188,true
anchors,5,1,5600405384,k$,k$,21,355,197403,8953,12641,true
anchors,5,2,1632819610,k$,k$,21,355,126217,5891,12844,true
anchors,5,3,1412034944,k$,k$,21,355,2578,282,11719,true
anchors,5,4,9724161943,k$,k$,21,355,69876,3594,12656,true
anchors,5,5,4037724866,k$,k$,21,355,85525,4250,12391,true
anchors,5,6,8370032799,k$,k$,21,355,31798,1985,12234,true
anchors,5,7,2767986875,k$,k$,21,355,192860,8500,12219,true
anchors,5,8,3141506592,[paMR],[paMR],12,225,155791,7563,13188,true
anchors,5,9,3313543896,k$,k$,21,355,11687,797,13172,true
anchors,5,10,8657690939,k$,k$,21,355,110770,5188,12594,true
anchors,5,11,9696640194,k$,k$,21,355,69723,3516,11610,true
anchors,5,12,6621545651,k$,k$,21,355,5833,500,9703,true
anchors,5,13,2492462788,k$,k$,21,355,137171,6453,13047,true
anchors,5,14,3404588599,k$,k$,21,355,249347,10312,12187,true
anchors,5,15,2330977742,k$,k$,21,355,28768,1859,12375,true
anchors,5,16,6361187489,k$,k$,21,355,69164,3484,11953,true
anchors,5,17,2805026820,k$,k$,21,355,65673,3485,13172,true
anchors,5,18,4323456912,k$,k$,21,355,24959,1641,13500,true
anchors,5,19,8361101999,[ijk]$,[ijk]$,21,355,1852,219,11031,true
anchors,5,20,9935136846,k$,k$,21,355,5495,469,13093,true
anchors,5,21,5217407358,k$,k$,21,355,30950,1813,10625,true
anchors,5,22,5619256299,k$,k$,21,355,144367,6688,12531,true
anchors,5,23,4560422870,k$,k$,21,355,9824,719,13063,true
anchors,5,24,5236888092,k$,k$,21,355,67198,3641,13188,true
anchors,5,25,1337360711,k$,k$,21,355,250293,10625,12766,true
anchors,5,26,7659837985,k$,k$,21,355,34001,2063,12813,true
anchors,5,27,2521100877,k$,k$,21,355,89769,4640,12687,true
anchors,5,28,8801535107,k\b,k\b,21,355,3757,344,10531,true
anchors,5,29,9651599436,k$,k$,21,355,61719,3110,12391,true
ranges,5,1,2967301147,^[a-f][a-e][^n],^[a-f][a-e][n],21,208,40229,2172,10469,true
ranges,5,1,5600405384,^[a-f]*?$,^[a-f]*?$,21,212,113015,5172,11688,true
ranges,5,2,1632819610,^[a-f][a-e][^n],^[a-f][a-e][n],21,208,14955,984,12218,true
ranges,5,3,1412034944,^[a-f]*?$,^[a-f]*?$,21,212,71849,3562,12062,true
ranges,5,4,9724161943,[a-f][a-e][dfbc],[a-f][a-e][dfbc],21,212,47757,2563,12484,true
ranges,5,5,4037724866,^[a-f][a-e][^n],^[a-f][a-e][n],21,208,16230,1094,12453,true
ranges,5,6,8370032799,^[a-f]*?$,^[a-f]*?$,21,212,60008,2984,12406,true
ranges,5,7,2767986875,^[a-f]*?$,^[a-f]*?$,21,212,109588,5250,12047,true
ranges,5,8,3141506592,^[a-f]*?$,^[a-f]*?$,21,212,12883,969,12781,true
ranges,5,9,3313543896,^[a-f][a-e][^n],^[a-f][a-e][n],21,208,60186,3023,10664,true
ranges,5,10,8657690939,^[a-f]*?$,^[a-f]*?$,21,212,49669,2610,12453,true
ranges,5,11,9696640194,[a-f][a-e][cdfb],[a-f][a-e][cdfb],21,212,13717,938,10781,true
ranges,5,12,6621545651,[a-f][a-e].[a-f],[a-f][a-e].[a-f],21,212,135532,6235,11297,true
ranges,5,13,2492462788,^[a-f]*?$,^[a-f]*?$,21,212,177617,7953,12453,true
ranges,5,14,3404588599,^[a-f][a-e][^n],^[a-f][a-e][n],21,208,11936,860,11984,true
ranges,5,15,2330977742,^[a-f]*?$,^[a-f]*?$,21,212,229425,9703,12453,true
ranges,5,16,6361187489,[a-f][a-e].[a-f],[a-f][a-e].[a-f],21,212,230798,10063,12594,true
ranges,5,17,2805026820,^[a-f][a-e][^n],^[a-f][a-e][n],21,208,27094,1500,11562,true
ranges,5,18,4323456912,^[a-f][a-e][^n],^[a-f][a-e][n],21,208,41629,2266,12297,true
ranges,5,19,8361101999,^[a-f]*?$,^[a-f]*?$,21,212,223098,9656,12468,true
ranges,5,20,9935136846,^[a-f]*?$,^[a-f]*?$,21,212,70359,3484,12452,true
ranges,5,21,5217407358,^[a-f]*?$,^[a-f]*?$,21,212,248168,10344,12172,true
ranges,5,22,5619256299,^[a-f]*?$,^[a-f]*?$,21,212,114504,5438,12641,true
ranges,5,23,4560422870,[a-f][a-e].[a-f],[a-f][a-e].[a-f],21,212,93990,4532,12188,true
ranges,5,24,5236888092,^[a-f][a-e][^n],^[a-f][a-e][n],21,208,35302,1891,10156,true
ranges,5,25,1337360711,^[a-f]*?$,^[a-f]*?$,21,212,56087,2875,12344,true
ranges,5,26,7659837985,[a-f][a-e].[a-f],[a-f][a-e].[a-f],21,212,80003,3766,10781,true
ranges,5,27,2521100877,[a-f][a-e].[a-f],[a-f][a-e].[a-f],21,212,2765,329,12250,true
ranges,5,28,8801535107,^[a-f]*?$,^[a-f]*?$,21,212,120341,5469,12218,true
ranges,5,29,9651599436,^[a-f]*?$,^[a-f]*?$,21,212,17606,1141,12563,true
backrefs,5,1,2967301147,[ouanryei][\w]$,[ouanryei][\w]$,19,321,293932,13961,14211,true
backrefs,5,1,5600405384,[crano][ovtlyp],[crano][ovtlyp],20,344,281124,12984,13859,true
backrefs,5,2,1632819610,[ueioynar]\w$,[ueioynar]\w$,19,321,35320,2282,13344,true
backrefs,5,3,1412034944,[uenoaryi]\w$,[uenoaryi]\w$,19,321,251946,11594,13609,true
backrefs,5,4,9724161943,[nouaryei]\w$,[nouaryei]\w$,19,321,210596,10516,14250,true
backrefs,5,5,4037724866,[tmfvpo][[d-y][d-s]]?,[tmfvpo][[d-y][d-s]]?,18,353,112657,6266,14031,true
backrefs,5,6,8370032799,[eog][ctvaom]\B,[eog][ctvaom]\B,13,328,66161,3672,13953,true
backrefs,5,7,2767986875,[unoaryei][\w]$,[unoaryei][\w]$,19,321,2987,329,12516,true
backrefs,5,8,3141506592,[a-p][tuv][d-y][d-s],[a-p][tuv][d-y][d-s],13,319,35743,2235,12672,true
backrefs,5,9,3313543896,[onuaryei]\w$,[onuaryei]\w$,19,321,52847,3657,14219,true
backrefs,5,10,8657690939,[eoh][mcaov],[eoh][mcaov],11,332,223717,10422,13531,true
backrefs,5,11,9696640194,[a-p][tuv][d-y][d-s],[a-p][tuv][d-y][d-s],13,319,7339,625,12906,true
backrefs,5,12,6621545651,[rnouayei]\w$,[rnouayei]\w$,19,321,212207,10594,14188,true
backrefs,5,13,2492462788,[tfvmpo][d-y][d-s],[tfvmpo][d-y][d-s],18,353,26767,1750,13938,true
backrefs,5,14,3404588599,[eunoaryi]\w$,[eunoaryi]\w$,19,321,34179,2079,13469,true
backrefs,5,15,2330977742,[uenoaryi]\w$,[uenoaryi]\w$,19,321,115350,6157,14047,true
backrefs,5,16,6361187489,[onayurei][\w]\b,[onayurei][\w]\b,19,321,34413,2141,13156,true
backrefs,5,17,2805026820,[tuv][d-y][d-s],[tuv][d-y][d-s],14,317,98150,4985,12781,true
backrefs,5,18,4323456912,[mhtogali]\w[ne]\B,[mhtogali]\w[ne]\B,14,344,112991,6328,13750,true
backrefs,5,19,8361101999,[e-u][[e-n][l-t]+?[b-o]]?,[e-u][[e-n][l-t]+?[b-o]]?,15,335,154278,8031,14413,true
backrefs,5,20,9935136846,[tfvmpo][d-y][d-s],[tfvmpo][d-y][d-s],18,353,136376,6828,13719,true
backrefs,5,21,5217407358,[tfvmpo][d-y][d-s],[tfvmpo][d-y][d-s],18,353,104298,5344,13328,true
backrefs,5,22,5619256299,[tfvmpo][d-y][d-s],[tfvmpo][d-y][d-s],18,353,70998,3813,12844,true
backrefs,5,23,4560422870,[[b-r][a-o][tuv][d-y]]?,[[b-r][a-o][tuv][d-y]]?,12,330,59188,3500,12813,true
backrefs,5,24,5236888092,[uenoaryi]\w$,[uenoaryi]\w$,19,321,130514,6469,13453,true
backrefs,5,25,1337360711,[rnouayei]\w$,[rnouayei]\w$,19,321,263704,11890,13453,true
backrefs,5,26,7659837985,[tfvmpo][d-y][d-s],[tfvmpo][d-y][d-s],18,353,15872,1203,13015,true
backrefs,5,27,2521100877,[clgtxaum]\b,[clgtxaum]\b,13,314,21360,1313,12359,true
backrefs,5,28,8801535107,[rnouayei]\w$,[rnouayei]\w$,19,321,64350,3516,12484,true
backrefs,5,29,9651599436,[uoranyei]\w$,[uoranyei]\w$,19,321,17548,1235,12844,true
powers,5,1,2967301147,^xxxx$,^xxxx$,1,2329,2536,297,10531,true
powers,5,1,5600405384,^xx$,^xx$,1,2327,157,47,10469,true
powers,5,2,1632819610,[],[],0,2325,293512,10265,10453,true
