Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Matches_on_left,Matches_on_right,Numero_de_comparacoes,Numero_total_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
warmup,5,1,2967301147,foo,foo,21,21,0,830,119410,0,120,true
warmup,5,1,5600405384,foo,foo,21,21,0,9476,300000,0,8,false
warmup,5,2,1632819610,foo,foo,21,21,0,1033,132023,0,120,true
warmup,5,3,1412034944,foo,foo,21,21,0,4998,131080,0,120,true
warmup,5,4,9724161943,foo,foo,21,21,0,360,300000,0,9,false
warmup,5,5,4037724866,foo,foo,21,21,0,5940,133373,0,120,true
warmup,5,6,8370032799,foo,foo,21,21,0,13334,147728,0,120,true
warmup,5,7,2767986875,foo,foo,21,21,0,356,300000,0,8,false
warmup,5,8,3141506592,foo,foo,21,21,0,8336,144938,0,120,true
warmup,5,9,3313543896,foo,foo,21,21,0,1052,300000,0,7,false
warmup,5,10,8657690939,foo,foo,21,21,0,2365,133039,0,120,true
warmup,5,11,9696640194,foo,foo,21,21,0,7529,300000,0,7,false
warmup,5,12,6621545651,foo,foo,21,21,0,6296,300000,0,9,false
warmup,5,13,2492462788,foo,foo,21,21,0,11344,137951,0,120,true
warmup,5,14,3404588599,foo,foo,21,21,0,488,132803,0,120,true
warmup,5,15,2330977742,foo,foo,21,21,0,3865,135102,0,120,true
warmup,5,16,6361187489,foo,foo,21,21,0,9188,142174,0,120,true
warmup,5,17,2805026820,$a,$a,0,0,0,128901,129367,119,120,true
warmup,5,18,4323456912,foo,foo,21,21,0,1040,130346,0,120,true
warmup,5,19,8361101999,foo,foo,21,21,0,17693,150983,1,120,true
warmup,5,20,9935136846,foo,foo,21,21,0,1364,124712,0,120,true
warmup,5,21,5217407358,foo,foo,21,21,0,6899,137854,0,120,true
warmup,5,22,5619256299,foo,foo,21,21,0,1543,133574,0,120,true
warmup,5,23,4560422870,foo,foo,21,21,0,1083,131550,0,120,true
warmup,5,24,5236888092,foo,foo,21,21,0,33171,174244,1,120,true
warmup,5,25,1337360711,foo,foo,21,21,0,8244,142471,0,120,true
warmup,5,26,7659837985,foo,foo,21,21,0,581,300000,0,8,false
