Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Matches_on_left,Matches_on_right,Numero_de_comparacoes,Numero_total_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out

warmup,1,1,2967301147,foo,foo,21,21,0,221188,500000,24,51,false
warmup,7,1,2967301147,foo,foo,21,21,0,201780,500000,26,53,false
warmup,13,1,2967301147,foo,foo,21,21,0,5024,500000,1,53,false
warmup,1,1,5600405384,foo,foo,21,21,0,977,500000,0,60,false
warmup,7,1,5600405384,foo,foo,21,21,0,3242,500000,1,60,false
warmup,13,1,5600405384,foo,foo,21,21,0,4134,500002,1,58,false
warmup,1,2,1632819610,foo,foo,21,21,0,203931,500002,21,51,false
warmup,7,2,1632819610,foo,foo,21,21,0,263316,500002,29,49,false
warmup,13,2,1632819610,foo,foo,21,21,0,130066,500002,14,54,false
warmup,1,3,1412034944,foo,foo,21,21,0,189634,500000,22,54,false
warmup,7,3,1412034944,foo,foo,21,21,0,203874,500002,23,54,false
warmup,13,3,1412034944,foo,foo,21,21,0,20857,500000,3,55,false
warmup,1,4,9724161943,foo,foo,21,21,0,2782,500000,0,53,false
warmup,7,4,9724161943,foo,foo,21,21,0,402265,500000,43,54,false
warmup,13,4,9724161943,foo,foo,21,21,0,5443,500002,1,54,false
warmup,1,5,4037724866,foo,foo,21,21,0,252903,500000,28,52,false
warmup,7,5,4037724866,foo,foo,21,21,0,240553,500000,26,51,false
warmup,13,5,4037724866,foo,foo,21,21,0,237766,500000,25,54,false
warmup,1,6,8370032799,foo,foo,21,21,0,249422,500002,29,53,false
warmup,7,6,8370032799,foo,foo,21,21,0,271352,500002,32,54,false
warmup,13,6,8370032799,foo,foo,21,21,0,261112,500000,30,53,false
warmup,7,7,2767986875,foo,foo,21,21,0,212683,500002,22,51,false
warmup,1,7,2767986875,foo,foo,21,21,0,2331,500000,0,56,false
warmup,13,7,2767986875,foo,foo,21,21,0,206914,500000,23,57,false
