Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Matches_on_left,Matches_on_right,Numero_de_comparacoes,Numero_total_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out

warmup,1,1,2967301147,foo,foo,21,21,0,221188,500000,15,34,false
warmup,10,1,2967301147,foo,foo,21,21,0,226771,500000,15,34,false
warmup,1,1,5600405384,foo,foo,21,21,0,977,500000,0,35,false
warmup,10,1,5600405384,foo,foo,21,21,0,403791,500000,27,35,false
warmup,1,2,1632819610,foo,foo,21,21,0,203931,500002,13,33,false
warmup,10,2,1632819610,foo,foo,21,21,0,210085,500002,14,34,false
warmup,1,3,1412034944,foo,foo,21,21,0,189634,500000,15,36,false
warmup,10,3,1412034944,foo,foo,21,21,0,300395,500000,23,37,false
warmup,1,4,9724161943,foo,foo,21,21,0,2782,500000,0,35,false
warmup,10,4,9724161943,foo,foo,21,21,0,398903,500002,27,35,false
warmup,1,5,4037724866,foo,foo,21,21,0,252903,500000,18,34,false
warmup,10,5,4037724866,foo,foo,21,21,0,54897,500000,4,34,false
warmup,1,6,8370032799,foo,foo,21,21,0,249422,500002,19,34,false
warmup,10,6,8370032799,foo,foo,21,21,0,485441,500002,37,37,false
warmup,1,7,2767986875,foo,foo,21,21,0,2331,500000,0,37,false
warmup,10,7,2767986875,foo,foo,21,21,0,126079,500000,9,34,false
warmup,1,8,3141506592,foo,foo,21,21,0,24879,500002,2,35,false
warmup,10,8,3141506592,foo,foo,21,21,0,417328,500000,28,35,false
warmup,1,9,3313543896,foo,foo,21,21,0,253258,500002,17,33,false
warmup,10,9,3313543896,foo,foo,21,21,0,159839,500002,11,34,false
warmup,1,10,8657690939,foo,foo,21,21,0,275267,500000,20,36,false
warmup,10,10,8657690939,foo,foo,21,21,0,238824,500000,16,36,false
warmup,1,11,9696640194,foo,foo,21,21,0,156201,500000,12,34,false
warmup,10,11,9696640194,foo,foo,21,21,0,139366,500002,10,33,false
warmup,1,12,6621545651,foo,foo,21,21,0,109342,500002,8,34,false
warmup,10,12,6621545651,foo,foo,21,21,0,423026,500000,28,33,false
warmup,1,13,2492462788,foo,foo,21,21,0,123002,500000,9,36,false
warmup,10,13,2492462788,foo,foo,21,21,0,175102,500000,12,35,false
warmup,1,14,3404588599,foo,foo,21,21,0,291902,500000,21,35,false
warmup,10,14,3404588599,foo,foo,21,21,0,278651,500002,19,33,false
warmup,1,15,2330977742,foo,foo,21,21,0,254015,500002,18,34,false
warmup,10,15,2330977742,foo,foo,21,21,0,224627,500000,15,34,false
warmup,1,16,6361187489,foo,foo,21,21,0,200975,500002,15,34,false
warmup,10,16,6361187489,foo,foo,21,21,0,165851,500000,12,34,false
warmup,1,17,2805026820,foo,foo,21,21,0,300159,500000,24,41,false
warmup,10,17,2805026820,foo,foo,21,21,0,4566,500000,0,43,false
warmup,1,18,4323456912,foo,foo,21,21,0,248599,500002,24,39,false
warmup,10,18,4323456912,foo,foo,21,21,0,235397,500000,21,38,false
warmup,1,19,8361101999,foo,foo,21,21,0,498432,500002,34,34,false
warmup,10,19,8361101999,foo,foo,21,21,0,4576,500000,0,33,false
warmup,1,20,9935136846,foo,foo,21,21,0,1898,500000,0,31,false
warmup,10,20,9935136846,foo,foo,21,21,0,2758,500000,0,32,false
warmup,1,21,5217407358,foo,foo,21,21,0,352372,500000,24,32,false
warmup,10,21,5217407358,foo,foo,21,21,0,359753,500002,24,32,false
warmup,1,22,5619256299,foo,foo,21,21,0,284235,500000,18,31,false
warmup,10,22,5619256299,foo,foo,21,21,0,5008,500000,0,31,false
warmup,1,23,4560422870,foo,foo,21,21,0,25024,500002,2,30,false
warmup,10,23,4560422870,foo,foo,21,21,0,182796,500000,12,31,false
warmup,1,24,5236888092,f.o,f.o,21,21,0,238347,500000,15,32,false
warmup,10,24,5236888092,foo,foo,21,21,0,179274,500002,11,31,false
warmup,1,25,1337360711,foo,foo,21,21,0,49075,500000,4,34,false
warmup,10,25,1337360711,foo,foo,21,21,0,433809,500002,30,33,false
warmup,1,26,7659837985,foo,foo,21,21,0,492579,500000,30,31,false
warmup,10,26,7659837985,foo,foo,21,21,0,152955,500000,11,34,false
warmup,1,27,2521100877,foo,foo,21,21,0,280765,500002,19,32,false
warmup,10,27,2521100877,foo,foo,21,21,0,250315,500000,16,31,false
warmup,1,28,8801535107,foo,foo,21,21,0,264234,500000,17,32,false
warmup,10,28,8801535107,foo,foo,21,21,0,310745,500000,22,34,false
warmup,1,29,9651599436,foo,foo,21,21,0,2321,500000,0,33,false
warmup,10,29,9651599436,foo,foo,21,21,0,117625,500002,8,33,false
warmup,3,1,2967301147,foo,foo,21,21,0,210215,500002,14,30,false
warmup,20,1,2967301147,foo,foo,21,21,0,4999,500002,0,32,false
warmup,3,1,5600405384,foo,foo,21,21,0,316018,500000,21,33,false
warmup,20,1,5600405384,foo,foo,21,21,0,5466,500000,1,33,false
warmup,3,2,1632819610,foo,foo,21,21,0,286146,500000,19,33,false
warmup,20,2,1632819610,foo,foo,21,21,0,451816,500000,27,29,false
warmup,3,3,1412034944,foo,foo,21,21,0,288535,500000,20,34,false
warmup,20,3,1412034944,foo,foo,21,21,0,299303,500000,21,35,false
warmup,3,4,9724161943,foo,foo,21,21,0,360398,500002,25,34,false
warmup,20,4,9724161943,foo,foo,21,21,0,7686,500000,1,33,false
warmup,3,5,4037724866,foo,foo,21,21,0,3215,500000,0,34,false
warmup,20,5,4037724866,foo,foo,21,21,0,359027,500000,23,34,false
warmup,3,6,8370032799,foo,foo,21,21,0,274262,500002,20,33,false
warmup,20,6,8370032799,foo,foo,21,21,0,284655,500002,20,33,false
warmup,3,7,2767986875,foo,foo,21,21,0,221382,500000,16,35,false
warmup,20,7,2767986875,f.o,f.o,21,21,0,230750,500002,15,32,false
warmup,3,8,3141506592,foo,foo,21,21,0,3244,500002,0,32,false
warmup,20,8,3141506592,foo,foo,21,21,0,263509,500000,18,33,false
warmup,3,9,3313543896,foo,foo,21,21,0,267446,500002,17,30,false
warmup,20,9,3313543896,foo,foo,21,21,0,218912,500000,14,30,false
warmup,3,10,8657690939,foo,foo,21,21,0,141009,500002,9,34,false
warmup,20,10,8657690939,foo,foo,21,21,0,454322,500002,28,31,false
warmup,3,11,9696640194,foo,foo,21,21,0,211147,500000,14,32,false
warmup,20,11,9696640194,foo,foo,21,21,0,153348,500000,10,32,false
warmup,3,12,6621545651,foo,foo,21,21,0,290018,500000,19,31,false
warmup,20,12,6621545651,foo,foo,21,21,0,329478,500002,23,33,false
warmup,3,13,2492462788,foo,foo,21,21,0,11987,500000,1,36,false
warmup,20,13,2492462788,foo,foo,21,21,0,181758,500000,13,35,false
warmup,3,14,3404588599,foo,foo,21,21,0,317834,500002,22,33,false
warmup,20,14,3404588599,f.o,f.o,21,21,0,343188,500000,22,32,false
warmup,3,15,2330977742,foo,foo,21,21,0,224114,500000,16,32,false
warmup,20,15,2330977742,foo,foo,21,21,0,313879,500000,20,32,false
warmup,3,16,6361187489,foo,foo,21,21,0,198793,500000,14,33,false
warmup,20,16,6361187489,foo,foo,21,21,0,178862,500000,13,33,false
warmup,3,17,2805026820,foo,foo,21,21,0,307588,500002,20,33,false
warmup,20,17,2805026820,foo,foo,21,21,0,6324,500000,0,32,false
warmup,3,18,4323456912,foo,foo,21,21,0,3275,500000,0,32,false
warmup,20,18,4323456912,foo,foo,21,21,0,8162,500000,1,34,false
warmup,3,19,8361101999,foo,foo,21,21,0,473339,500002,29,31,false
warmup,20,19,8361101999,foo,foo,21,21,0,421311,500000,26,31,false
warmup,3,20,9935136846,foo,foo,21,21,0,251114,500000,17,31,false
warmup,20,20,9935136846,foo,foo,21,21,0,245365,500000,16,31,false
warmup,3,21,5217407358,foo,foo,21,21,0,261998,500000,17,32,false
warmup,20,21,5217407358,foo,foo,21,21,0,487626,500002,31,32,false
warmup,3,22,5619256299,foo,foo,21,21,0,236367,500000,16,32,false
warmup,20,22,5619256299,foo,foo,21,21,0,302800,500000,20,32,false
warmup,3,23,4560422870,f.o,f.o,21,21,0,98256,500000,7,31,false
warmup,20,23,4560422870,foo,foo,21,21,0,493266,500002,31,31,false
warmup,3,24,5236888092,foo,foo,21,21,0,335241,500002,22,32,false
warmup,20,24,5236888092,foo,foo,21,21,0,8144,500000,1,32,false
warmup,3,25,1337360711,foo,foo,21,21,0,437734,500002,28,31,false
warmup,20,25,1337360711,foo,foo,21,21,0,283097,500002,20,33,false
warmup,3,26,7659837985,foo,foo,21,21,0,152721,500000,11,33,false
warmup,20,26,7659837985,foo,foo,21,21,0,269667,500000,18,32,false
warmup,3,27,2521100877,foo,foo,21,21,0,256207,500000,18,33,false
warmup,20,27,2521100877,foo,foo,21,21,0,235883,500000,16,32,false
warmup,3,28,8801535107,foo,foo,21,21,0,274437,500000,18,33,false
warmup,20,28,8801535107,foo,foo,21,21,0,298325,500002,19,32,false
warmup,3,29,9651599436,foo,foo,21,21,0,209596,500000,15,32,false
warmup,20,29,9651599436,foo,foo,21,21,0,61939,500002,4,32,false
anchors,1,1,2967301147,k$,k$,21,21,0,209052,500000,15,34,false
anchors,10,1,2967301147,k$,k$,21,21,0,429033,500002,28,32,false
anchors,1,1,5600405384,k$,k$,21,21,0,299741,500000,22,36,false
anchors,10,1,5600405384,k$,k$,21,21,0,33296,500002,3,35,false
anchors,1,2,1632819610,k$,k$,21,21,0,196045,500000,14,34,false
anchors,10,2,1632819610,k$,k$,21,21,0,13037,500000,1,34,false
anchors,1,3,1412034944,k$,k$,21,21,0,346730,500002,23,33,false
anchors,10,3,1412034944,k$,k$,21,21,0,200646,500000,13,33,false
anchors,1,4,9724161943,k$,k$,21,21,0,215397,500002,14,32,false
anchors,10,4,9724161943,k$,k$,21,21,0,409191,500000,28,33,false
anchors,10,5,4037724866,k$,k$,21,21,0,341951,500000,23,33,false
anchors,1,5,4037724866,k$,k$,21,21,0,388971,500000,28,35,false
anchors,10,6,8370032799,k$,k$,21,21,0,375305,500002,26,35,false
anchors,1,6,8370032799,k$,k$,21,21,0,1079,500000,0,34,false
anchors,10,7,2767986875,k$,k$,21,21,0,94852,500000,7,35,false
anchors,1,7,2767986875,k$,k$,21,21,0,331143,500002,24,35,false
anchors,1,8,3141506592,k$,k$,21,21,0,271718,500000,20,34,false
anchors,10,8,3141506592,u?i.[kl]$,u?i.[kl]$,21,21,0,435574,500000,33,38,false
anchors,1,9,3313543896,k$,k$,21,21,0,41552,500000,3,35,false
anchors,10,9,3313543896,k$,k$,21,21,0,440695,500000,30,34,false
anchors,10,10,8657690939,k$,k$,21,21,0,220698,500002,15,31,false
anchors,1,10,8657690939,k$,k$,21,21,0,126185,500002,9,34,false
anchors,1,11,9696640194,k$,k$,21,21,0,76081,500000,6,35,false
anchors,10,11,9696640194,k$,k$,21,21,0,321010,500000,23,36,false
anchors,1,12,6621545651,k$,k$,21,21,0,434044,500000,28,32,false
anchors,10,12,6621545651,k$,k$,21,21,0,485086,500000,33,33,false
anchors,1,13,2492462788,k$,k$,21,21,0,439367,500002,29,33,false
anchors,10,13,2492462788,k$,k$,21,21,0,45920,500000,3,33,false
anchors,1,14,3404588599,k$,k$,21,21,0,356797,500000,25,35,false
anchors,10,14,3404588599,k$,k$,21,21,0,181103,500000,12,34,false
anchors,1,15,2330977742,k$,k$,21,21,0,327829,500000,21,31,false
anchors,10,15,2330977742,k$,k$,21,21,0,398942,500000,29,34,false
anchors,1,16,6361187489,k$,k$,21,21,0,219410,500000,15,34,false
anchors,10,16,6361187489,k$,k$,21,21,0,299276,500000,21,34,false
anchors,1,17,2805026820,k$,k$,21,21,0,26911,500000,2,34,false
anchors,10,17,2805026820,k$,k$,21,21,0,74241,500000,5,34,false
anchors,1,18,4323456912,k$,k$,21,21,0,225447,500000,16,35,false
anchors,10,18,4323456912,k$,k$,21,21,0,463120,500000,30,32,false
anchors,1,19,8361101999,k$,k$,21,21,0,184446,500002,13,34,false
anchors,10,19,8361101999,k$,k$,21,21,0,178391,500002,13,34,false
anchors,1,20,9935136846,[ijk]$,[ijk]$,21,21,0,2493,500002,0,33,false
anchors,10,20,9935136846,k$,k$,21,21,0,158894,500000,10,32,false
anchors,1,21,5217407358,k$,k$,21,21,0,33985,500000,3,33,false
anchors,10,21,5217407358,[hi][bc].$,[hi][bc].$,21,21,0,483142,500000,31,32,false
anchors,10,22,5619256299,k$,k$,21,21,0,261911,500000,18,33,false
anchors,1,22,5619256299,k$,k$,21,21,0,481526,500002,33,34,false
anchors,10,23,4560422870,k$,k$,21,21,0,232565,500002,16,34,false
anchors,1,23,4560422870,k$,k$,21,21,0,220152,500002,14,34,false
anchors,10,24,5236888092,k$,k$,21,21,0,75425,500000,6,34,false
anchors,1,24,5236888092,k$,k$,21,21,0,497960,500002,34,34,false
anchors,10,25,1337360711,k$,k$,21,21,0,426752,500000,29,33,false
anchors,1,25,1337360711,k$,k$,21,21,0,148143,500002,10,33,false
anchors,10,26,7659837985,k$,k$,21,21,0,277651,500000,19,37,false
anchors,1,26,7659837985,k$,k$,21,21,0,292982,500002,20,37,false
anchors,10,27,2521100877,k$,k$,21,21,0,294265,500002,22,36,false
anchors,1,27,2521100877,k$,k$,21,21,0,260506,500000,20,35,false
anchors,10,28,8801535107,k$,k$,21,21,0,351442,500000,22,30,false
anchors,1,28,8801535107,k$,k$,21,21,0,401981,500002,27,33,false
anchors,10,29,9651599436,k$,k$,21,21,0,33150,500000,3,35,false
anchors,1,29,9651599436,k$,k$,21,21,0,36848,500000,3,35,false
anchors,20,1,2967301147,k$,k$,21,21,0,492857,500000,32,33,false
anchors,3,1,2967301147,k$,k$,21,21,0,473767,500002,33,35,false
anchors,20,1,5600405384,k$,k$,21,21,0,285308,500000,21,35,false
