Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Maximo_fitness,Matches_on_left,Matches_on_right,Numero_de_comparacoes,Numero_total_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out

warmup,5,1,2967301147,foo,foo,207,210,21,0,3241,300000,809,44428,false
ranges,5,1,2967301147,^[a-f]*$,^[a-f]*$,202,210,21,0,94680,300000,17935,49207,false
anchors,5,1,2967301147,k$,k$,208,210,21,0,58709,300000,12436,53023,false
backrefs,5,1,2967301147,[^cw][e-h].[a-t].,[^cw][e-h].[a-t].,123,210,16,2,59527,300000,12540,56228,false
warmup,5,1,5600405384,foo,foo,207,210,21,0,2817,300000,879,46747,false
anchors,5,1,5600405384,k$,k$,208,210,21,0,5358,300000,1706,47678,false
ranges,5,1,5600405384,^[a-f]*$,^[a-f]*$,202,210,21,0,17915,300000,5433,50550,false
backrefs,5,1,5600405384,^[^gdnkw][a-u][d-t],^[^dgknw][a-u][d-t],121,210,19,5,138761,300000,25895,49581,false
warmup,5,2,1632819610,foo,foo,207,210,21,0,37382,300000,7911,40068,false
anchors,5,2,1632819610,k$,k$,208,210,21,0,169604,300000,23065,38110,false
ranges,5,2,1632819610,^[a-f]*$,^[a-f]*$,202,210,21,0,21615,300000,4189,40006,false
backrefs,5,2,1632819610,[l-u][a-o][l-u]+[c-h],[l-u][a-o][l-u]+[c-h],109,210,15,2,275675,300000,43123,46209,false
warmup,5,3,1412034944,foo,foo,207,210,21,0,3675,300000,1232,37294,false
anchors,5,3,1412034944,k$,k$,208,210,21,0,214083,300000,27705,37394,false
ranges,5,3,1412034944,^[a-f]*$,^[a-f]*$,202,210,21,0,156653,300000,22115,38752,false
backrefs,5,3,1412034944,[^w][efg].[a-t],w[efg].[a-t],115,210,15,2,21323,300000,4227,45775,false
warmup,5,4,9724161943,f.o,f.o,207,210,21,0,5797,300000,1523,35858,false
anchors,5,4,9724161943,c[kl]$,c[kl]$,204,210,21,0,259549,300000,35735,40273,false
ranges,5,4,9724161943,^[a-f]*$,^[a-f]*$,202,210,21,0,64285,300000,10215,39495,false
warmup,5,5,4037724866,foo,foo,207,210,21,0,4133,300000,1330,38258,false
backrefs,5,4,9724161943,[^oh[bc]]*[b-o].[m-r].,[^\[bcho]\]*[b-o].[m-r].,128,210,17,2,268752,300000,43303,47943,false
anchors,5,5,4037724866,k$,k$,208,210,21,0,95442,300000,13233,37242,false
ranges,5,5,4037724866,^[a-f]*$,^[a-f]*$,202,210,21,0,87076,300000,12726,40094,false
warmup,5,6,8370032799,foo,foo,207,210,21,0,72634,300000,10198,36804,false
backrefs,5,5,4037724866,^[^kdnw][a-t][d-t][a-t],^[^dknw][a-t][d-t][a-t],107,210,17,4,292362,300000,40721,41911,false
anchors,5,6,8370032799,k$,k$,208,210,21,0,14766,300000,3103,39342,false
ranges,5,6,8370032799,^[a-f]*$,^[a-f]*$,202,210,21,0,61363,300000,9422,39594,false
warmup,5,7,2767986875,foo,foo,207,210,21,0,2331,300000,847,35574,false
anchors,5,7,2767986875,k$,k$,208,210,21,0,1590,300000,602,37435,false
backrefs,5,6,8370032799,[e-h][a-u][a-t][^s][f-y],[e-h][a-u][a-t][^s][f-y],126,210,17,2,107071,300000,15746,41683,false
ranges,5,7,2767986875,^[a-f]*$,^[a-f]*$,202,210,21,0,14829,300000,3326,38563,false
warmup,5,8,3141506592,foo,foo,207,210,21,0,4134,300000,1325,36609,false
anchors,5,8,3141506592,k$,k$,208,210,21,0,260889,300000,37799,42584,false
backrefs,5,7,2767986875,[d-h][^lx]+[tuv],[d-h][^lx]+[tuv],114,210,14,1,10487,300000,2581,47481,false
ranges,5,8,3141506592,^[a-f]*$,^[a-f]*$,202,210,21,0,4606,300000,1636,43572,false
warmup,5,9,3313543896,foo,foo,207,210,21,0,3243,300000,1184,39327,false
anchors,5,9,3313543896,k$,k$,208,210,21,0,2657,300000,1010,41150,false
backrefs,5,8,3141506592,e*[a-t][tmpu][d-s]{2},e*[a-t][mptu][d-s]{2},109,210,17,4,251948,300000,38092,46347,false
ranges,5,9,3313543896,^[a-f]*$,^[a-f]*$,202,210,21,0,35206,300000,6604,40024,false
warmup,5,10,8657690939,foo,foo,207,210,21,0,11619,300000,2685,39509,false
anchors,5,10,8657690939,k$,k$,208,210,21,0,14016,300000,3102,40629,false
backrefs,5,9,3313543896,[e-h]p*[a-u][a-t][^s][f-y],[e-h]p*[a-u][a-t][^s][f-y],124,210,17,2,226116,300000,34282,43649,false
warmup,5,11,9696640194,foo,foo,207,210,21,0,3676,300000,1298,36133,false
ranges,5,10,8657690939,^[a-f]*$,^[a-f]*$,202,210,21,0,68821,300000,10165,38111,false
anchors,5,11,9696640194,k$,k$,208,210,21,0,101171,300000,13793,36675,false
warmup,5,12,6621545651,foo,foo,207,210,21,0,9832,300000,2460,35757,false
ranges,5,11,9696640194,^[a-f]*$,^[a-f]*$,202,210,21,0,14352,300000,3281,38898,false
backrefs,5,10,8657690939,^[^kdgw][^ocy][d-t],^[^dgkw][^coy][d-t],131,210,18,3,27756,300000,5409,50855,false
anchors,5,12,6621545651,k$,k$,208,210,21,0,195738,300000,25254,36415,false
warmup,5,13,2492462788,foo,foo,207,210,21,0,7631,300000,1913,35691,false
ranges,5,12,6621545651,^[a-f]*$,^[a-f]*$,202,210,21,0,51740,300000,7997,37810,false
backrefs,5,11,9696640194,[d-r][b-t][^lk][e-v][f-y],[d-r][b-t][^kl][e-v][f-y],115,210,19,5,276801,300000,40306,43826,false
anchors,5,13,2492462788,k$,k$,208,210,21,0,57104,300000,7884,35794,false
warmup,5,14,3404588599,foo,foo,207,210,21,0,2790,300000,977,37088,false
ranges,5,13,2492462788,^[a-f]*$,^[a-f]*$,202,210,21,0,48967,300000,7627,37421,false
anchors,5,14,3404588599,k$,k$,208,210,21,0,4228,300000,1336,41972,false
backrefs,5,12,6621545651,^a*[^nk][a-u][d-t][o-u]*[a-i],^a*[^kn][a-u][d-t][o-u]*[a-i],151,210,20,2,166018,300000,30946,49072,false
warmup,5,15,2330977742,foo,foo,207,210,21,0,3275,300000,1048,34077,false
ranges,5,14,3404588599,^[a-f]*$,^[a-f]*$,202,210,21,0,64074,300000,9347,36457,false
anchors,5,15,2330977742,i*k$,i*k$,206,210,21,0,22052,300000,4008,37031,false
warmup,5,16,6361187489,foo,foo,207,210,21,0,3223,300000,1149,34895,false
backrefs,5,13,2492462788,[g-u][b-r][^ih][l-v],[g-u][b-r][^hi][l-v],120,210,19,5,98477,300000,16369,50480,false
ranges,5,15,2330977742,^[a-f]*$,^[a-f]*$,202,210,21,0,10548,300000,2622,37566,false
anchors,5,16,6361187489,k$,k$,208,210,21,0,22758,300000,4322,39307,false
warmup,5,17,2805026820,foo,foo,207,210,21,0,3217,300000,1143,36103,false
ranges,5,16,6361187489,^[a-f]*$,^[a-f]*$,202,210,21,0,17036,300000,3282,38075,false
backrefs,5,14,3404588599,[^gr][tu][d-r][d-s],[^gr][tu][d-r][d-s],101,210,13,1,217796,300000,33882,44003,false
warmup,5,18,4323456912,foo,foo,207,210,21,0,4193,300000,1332,34655,false
anchors,5,17,2805026820,k$,k$,208,210,21,0,76880,300000,10775,36489,false
ranges,5,17,2805026820,^[a-f]*$,^[a-f]*$,202,210,21,0,28956,300000,5855,38329,false
backrefs,5,15,2330977742,^[^k][a-v]+[l-u][e-h],^k[a-v]+[l-u][e-h],109,210,15,2,187655,300000,26981,46519,false
warmup,5,19,8361101999,foo,foo,207,210,21,0,44752,300000,6897,33297,false
anchors,5,18,4323456912,k$,k$,208,210,21,0,97855,300000,12304,38143,false
ranges,5,18,4323456912,^[a-f]*$,^[a-f]*$,202,210,21,0,33348,300000,5339,37342,false
warmup,5,20,9935136846,foo,foo,207,210,21,0,6336,300000,1753,35034,false
anchors,5,19,8361101999,k$,k$,208,210,21,0,4,300000,52,36430,false
backrefs,5,16,6361187489,[^w][efg].[a-t],w[efg].[a-t],115,210,15,2,166875,300000,26873,44234,false
ranges,5,19,8361101999,^[a-f]*$,^[a-f]*$,202,210,21,0,24937,300000,4265,37256,false
warmup,5,21,5217407358,foo,foo,207,210,21,0,25336,300000,4191,33858,false
anchors,5,20,9935136846,k$,k$,208,210,21,0,1,300000,47,36078,false
backrefs,5,17,2805026820,[e-h].?[^zg][a-h],[e-h].?[^zg][a-h],103,210,14,2,270945,300000,34790,39418,false
