Nome,Depth,"Melhor_Fitness","Melhor_Fitness_Shrunk","Maximo_Fitness","Matches_On_Left","Matches_On_Right","Numero_de_Comparacoes","Numero_Total_de_Comparacoes","Tempo_Melhor_Solucao","Tempo_Total",Index,Seed,"Simple_Fitness","Melhor_Solucao","Melhor_Solução_Shrunk",Orcamento,"Reason_to_Stop"
abba,16,187,187,210,21,0,66954,300001,99921,402655,0,2967301147,21,acr|nv|mi|te|st|z|.u|ph,acr|nv|mi|te|st|z|.u|ph,300000,maxEvaluations
abba,16,187,187,210,21,0,37685,300003,54013,367003,1,5600405384,21,acr|nv|mi|te|st|z|.u|ph,acr|nv|mi|te|st|z|.u|ph,300000,maxEvaluations
abba,16,187,187,210,21,0,66887,300003,83195,339988,2,1632819610,21,acr|nv|mi|te|st|z|.u|ph,acr|nv|mi|te|st|z|.u|ph,300000,maxEvaluations
abba,16,187,187,210,21,0,135553,300003,204953,452379,3,1412034944,21,acr|nv|mi|te|st|z|.u|ph,acr|nv|mi|te|st|z|.u|ph,300000,maxEvaluations
abba,16,187,187,210,21,0,39787,300003,74758,442457,4,9724161943,21,acr|nv|mi|te|st|z|.u|ph,acr|nv|mi|te|st|z|.u|ph,300000,maxEvaluations
abba,16,187,187,210,21,0,39319,300003,64146,386966,5,4037724866,21,acr|nv|mi|te|st|z|.u|ph,acr|nv|mi|te|st|z|.u|ph,300000,maxEvaluations
abba,16,187,187,210,21,0,37139,300003,56496,427749,6,8370032799,21,acr|nv|mi|te|st|z|.u|ph,acr|nv|mi|te|st|z|.u|ph,300000,maxEvaluations
abba,16,187,187,210,21,0,38187,300003,53428,361724,7,2767986875,21,acr|nv|mi|te|st|z|.u|ph,acr|nv|mi|te|st|z|.u|ph,300000,maxEvaluations
abba,16,187,187,210,21,0,36605,300003,72470,415275,8,3141506592,21,acr|nv|mi|te|st|z|.u|ph,acr|nv|mi|te|st|z|.u|ph,300000,maxEvaluations
abba,16,187,187,210,21,0,37743,300003,80956,452864,9,3313543896,21,acr|nv|mi|te|st|z|.u|ph,acr|nv|mi|te|st|z|.u|ph,300000,maxEvaluations
abba,16,187,187,210,21,0,38166,300003,87802,523473,10,8657690939,21,acr|nv|mi|te|st|z|.u|ph,acr|nv|mi|te|st|z|.u|ph,300000,maxEvaluations
abba,16,187,187,210,21,0,38713,284000,88692,600245,11,9696640194,21,acr|nv|mi|te|st|z|.u|ph,acr|nv|mi|te|st|z|.u|ph,300000,timeout
abba,16,187,187,210,21,0,38218,285058,105497,600140,12,6621545651,21,acr|nv|mi|te|st|z|.u|ph,acr|nv|mi|te|st|z|.u|ph,300000,timeout
