Nome,Depth,i,seed,regex,Melhor_bartoli,Melhor_nosso,Tempo,Tempo_total,Timed_out
warmup,5,1,4105328976,foo,21,42,49814827387,32777,false
order,5,1,4105328976,ac|^c|y$|o.$,16,37,742834220,31353,false
warmup,5,1,6370951248,foo,21,42,8319563,34439,false
order,5,1,6370951248,^c|o[^e]t?$|yi?$,16,37,28892312501,28517,false
order,5,2,9431657082,^c|o[^e]$|y$,15,36,31655613766,27876,false
warmup,5,2,9431657082,foo,21,42,1754199641,33861,false
order,5,3,1874029365,^f|^m?^a|os|^c,16,37,58510427595,28486,false
warmup,5,3,1874029365,fok?o,21,42,30460418392,39736,false
order,5,4,5691784320,em|ch|lo|y$,15,36,902234703,30439,false
warmup,5,4,5691784320,foo,21,42,760464625,36767,false
order,5,5,8392760514,os|^c|^a|y$,16,37,29554815798,33502,false
warmup,5,5,8392760514,foo,21,42,59724539252,39408,false
order,5,6,4612780539,lo|^c|y$,14,35,22588010079,29439,false
order,5,7,8261384957,lo|^c|[^r]y$,15,36,28936216110,30923,false
warmup,5,6,4612780539,foo,21,42,1284528126,38158,false
order,5,8,2463075891,o.$|^c|y$,15,36,1132767313,32283,false
warmup,5,7,8261384957,foo,21,42,43794234939,46190,false
order,5,9,9135874206,^c|^a|lo|y$,15,36,26503614407,30861,false
warmup,5,8,2463075891,foo,21,42,19402711798,40830,false
order,5,10,7095231486,^c|lo|os,15,36,617493141,27720,false
order,5,11,9842301657,^rc|^a|y$|^c|t$,16,37,50175827142,32080,false
warmup,5,9,9135874206,f[^]o,21,42,31544119735,37158,false
order,5,12,2196735084,^c|os|lo|y$,16,37,32768316532,31892,false
warmup,5,10,7095231486,foo,21,42,44101524783,34877,false
order,5,13,9067852413,e?[^e]t$|^c|^a|y$,17,38,16188811360,33283,false
warmup,5,11,9842301657,foo,21,42,54465935627,38689,false
order,5,14,2405681973,t$|^i?c|^a|y$,16,37,1602089297,32830,false
